State,Year,State Expenditures per Student,"Average NAEP Proficency in Math and Reading, Grades 4 and 8"
Alabama,2003,8488,20
Alaska,2003,13199,29
Arizona,2003,7834,24
Arkansas,2003,8871,25
California,2003,10144,23
Colorado,2003,9881,35
Connecticut,2003,15019,39
Delaware,2003,13209,30
District of Columbia,2003,19082,8
Florida,2003,8910,28
Georgia,2003,10204,26
Hawaii,2003,11053,21
Idaho,2003,8019,30
Illinois,2003,11459,32
Indiana,2003,10924,33
Iowa,2003,10030,35
Kansas,2003,10385,36
Kentucky,2003,9357,28
Louisiana,2003,9661,20
Maine,2003,12651,34
Maryland,2003,12516,31
Massachusetts,2003,14503,41
Michigan,2003,12159,32
Minnesota,2003,10953,40
Mississippi,2003,8239,17
Missouri,2003,9833,32
Montana,2003,10135,35
Nebraska,2003,11103,33
Nevada,2003,8319,21
New Hampshire,2003,11945,40
New Jersey,2003,18400,37
New Mexico,2003,9862,18
New York,2003,17309,34
North Carolina,2003,8580,34
North Dakota,2003,9503,35
Ohio,2003,11782,34
Oklahoma,2003,8376,25
Oregon,2003,9858,32
Pennsylvania,2003,12548,33
Rhode Island,2003,14384,28
South Carolina,2003,9505,27
South Dakota,2003,9250,35
Tennessee,2003,8584,24
Texas,2003,9630,28
Utah,2003,6700,32
Vermont,2003,14920,38
Virginia,2003,10726,35
Washington,2003,9615,34
West Virginia,2003,11368,25
Wisconsin,2003,12258,35
Wyoming,2003,12281,35
Alabama,2005,9369,20
Alaska,2005,14112,29
Arizona,2005,7970,25
Arkansas,2005,9966,28
California,2005,10346,23
Colorado,2005,10201,35
Connecticut,2005,16203,37
Delaware,2005,14165,33
District of Columbia,2005,19574,10
Florida,2005,9638,30
Georgia,2005,10675,26
Hawaii,2005,12075,22
Idaho,2005,7925,34
Illinois,2005,11439,30
Indiana,2005,10932,32
Iowa,2005,10271,35
Kansas,2005,10878,37
Kentucky,2005,9925,28
Louisiana,2005,10665,20
Maine,2005,13268,36
Maryland,2005,13604,33
Massachusetts,2005,15029,45
Michigan,2005,12039,32
Minnesota,2005,11260,41
Mississippi,2005,8951,17
Missouri,2005,10226,30
Montana,2005,10533,37
Nebraska,2005,11561,35
Nevada,2005,8780,23
New Hampshire,2005,12795,40
New Jersey,2005,19347,39
New Mexico,2005,10316,18
New York,2005,18692,33
North Carolina,2005,9027,32
North Dakota,2005,10692,37
Ohio,2005,11939,37
Oklahoma,2005,8937,25
Oregon,2005,10519,33
Pennsylvania,2005,13091,36
Rhode Island,2005,15451,29
South Carolina,2005,10154,29
South Dakota,2005,9518,36
Tennessee,2005,8713,26
Texas,2005,9503,32
Utah,2005,6674,33
Vermont,2005,16221,40
Virginia,2005,11646,36
Washington,2005,9798,37
West Virginia,2005,11827,23
Wisconsin,2005,12559,36
Wyoming,2005,13933,36
Alabama,2007,10552,24
Alaska,2007,16934,30
Arizona,2007,8955,26
Arkansas,2007,10192,29
California,2007,11216,24
Colorado,2007,10795,37
Connecticut,2007,17107,40
Delaware,2007,13942,34
District of Columbia,2007,22240,13
Florida,2007,10558,33
Georgia,2007,11371,28
Hawaii,2007,13604,25
Idaho,2007,8022,35
Illinois,2007,12274,32
Indiana,2007,10230,35
Iowa,2007,10870,38
Kansas,2007,11689,39
Kentucky,2007,10260,30
Louisiana,2007,11890,21
Maine,2007,13612,38
Maryland,2007,15639,36
Massachusetts,2007,16074,48
Michigan,2007,11832,31
Minnesota,2007,11665,40
Mississippi,2007,9223,19
Missouri,2007,10884,33
Montana,2007,11180,40
Nebraska,2007,12063,36
Nevada,2007,9437,24
New Hampshire,2007,13825,42
New Jersey,2007,21440,43
New Mexico,2007,10785,21
New York,2007,20332,36
North Carolina,2007,8904,32
North Dakota,2007,10749,36
Ohio,2007,12022,39
Oklahoma,2007,9338,28
Oregon,2007,10964,33
Pennsylvania,2007,13514,40
Rhode Island,2007,16710,30
South Carolina,2007,10688,28
South Dakota,2007,9853,37
Tennessee,2007,9190,27
Texas,2007,10000,31
Utah,2007,6940,33
Vermont,2007,17305,44
Virginia,2007,12467,37
Washington,2007,10444,37
West Virginia,2007,12006,27
Wisconsin,2007,12779,37
Wyoming,2007,15821,37
Alabama,2009,9932,24
Alaska,2009,17802,31
Arizona,2009,8869,27
Arkansas,2009,10548,30
California,2009,10392,25
Colorado,2009,10214,39
Connecticut,2009,17819,43
Delaware,2009,13568,33
District of Columbia,2009,26488,15
Florida,2009,9975,34
Georgia,2009,10677,29
Hawaii,2009,13052,27
Idaho,2009,7911,36
Illinois,2009,13495,34
Indiana,2009,10586,36
Iowa,2009,11255,35
Kansas,2009,11362,38
Kentucky,2009,10313,33
Louisiana,2009,12334,20
Maine,2009,14022,38
Maryland,2009,15996,39
Massachusetts,2009,16721,50
Michigan,2009,11850,31
Minnesota,2009,11968,44
Mississippi,2009,9158,20
Missouri,2009,11034,37
Montana,2009,11759,40
Nebraska,2009,12646,35
Nevada,2009,9340,26
New Hampshire,2009,14646,45
New Jersey,2009,20424,44
New Mexico,2009,10857,22
New York,2009,21336,36
North Carolina,2009,9246,35
North Dakota,2009,11767,39
Ohio,2009,12595,38
Oklahoma,2009,9342,27
Oregon,2009,10612,34
Pennsylvania,2009,14187,41
Rhode Island,2009,16486,33
South Carolina,2009,10370,29
South Dakota,2009,10064,38
Tennessee,2009,9112,27
Texas,2009,10200,32
Utah,2009,7120,35
Vermont,2009,18649,44
Virginia,2009,11985,37
Washington,2009,10593,38
West Virginia,2009,13613,24
Wisconsin,2009,13261,38
Wyoming,2009,16809,36
