State,Year,Percentage of 5-17 Year-Olds in Poverty,"Average NAEP Proficency in Math and Reading, Grades 4 and 8"
Alabama,2003,18,20
Alaska,2003,11,29
Arizona,2003,18,24
Arkansas,2003,28,25
California,2003,19,23
Colorado,2003,14,35
Connecticut,2003,10,39
Delaware,2003,12,30
District of Columbia,2003,35,8
Florida,2003,16,28
Georgia,2003,15,26
Hawaii,2003,15,21
Idaho,2003,13,30
Illinois,2003,16,32
Indiana,2003,10,33
Iowa,2003,10,35
Kansas,2003,10,36
Kentucky,2003,19,28
Louisiana,2003,23,20
Maine,2003,17,34
Maryland,2003,8,31
Massachusetts,2003,14,41
Michigan,2003,15,32
Minnesota,2003,8,40
Mississippi,2003,22,17
Missouri,2003,14,32
Montana,2003,17,35
Nebraska,2003,11,33
Nevada,2003,11,21
New Hampshire,2003,6,40
New Jersey,2003,9,37
New Mexico,2003,24,18
New York,2003,20,34
North Carolina,2003,19,34
North Dakota,2003,16,35
Ohio,2003,10,34
Oklahoma,2003,18,25
Oregon,2003,13,32
Pennsylvania,2003,13,33
Rhode Island,2003,14,28
South Carolina,2003,17,27
South Dakota,2003,11,35
Tennessee,2003,18,24
Texas,2003,21,28
Utah,2003,12,32
Vermont,2003,12,38
Virginia,2003,13,35
Washington,2003,12,34
West Virginia,2003,24,25
Wisconsin,2003,12,35
Wyoming,2003,10,35
Alabama,2005,22,20
Alaska,2005,12,29
Arizona,2005,18,25
Arkansas,2005,20,28
California,2005,18,23
Colorado,2005,11,35
Connecticut,2005,11,37
Delaware,2005,12,33
District of Columbia,2005,29,10
Florida,2005,16,30
Georgia,2005,19,26
Hawaii,2005,9,22
Idaho,2005,12,34
Illinois,2005,19,30
Indiana,2005,16,32
Iowa,2005,12,35
Kansas,2005,14,37
Kentucky,2005,22,28
Louisiana,2005,18,20
Maine,2005,13,36
Maryland,2005,13,33
Massachusetts,2005,9,45
Michigan,2005,17,32
Minnesota,2005,9,41
Mississippi,2005,28,17
Missouri,2005,17,30
Montana,2005,15,37
Nebraska,2005,8,35
Nevada,2005,14,23
New Hampshire,2005,8,40
New Jersey,2005,8,39
New Mexico,2005,22,18
New York,2005,21,33
North Carolina,2005,19,32
North Dakota,2005,10,37
Ohio,2005,15,37
Oklahoma,2005,15,25
Oregon,2005,14,33
Pennsylvania,2005,16,36
Rhode Island,2005,18,29
South Carolina,2005,20,29
South Dakota,2005,17,36
Tennessee,2005,18,26
Texas,2005,22,32
Utah,2005,11,33
Vermont,2005,8,40
Virginia,2005,11,36
Washington,2005,15,37
West Virginia,2005,17,23
Wisconsin,2005,18,36
Wyoming,2005,11,36
Alabama,2007,17,24
Alaska,2007,11,30
Arizona,2007,19,26
Arkansas,2007,22,29
California,2007,17,24
Colorado,2007,11,37
Connecticut,2007,9,40
Delaware,2007,11,34
District of Columbia,2007,31,13
Florida,2007,13,33
Georgia,2007,18,28
Hawaii,2007,9,25
Idaho,2007,13,35
Illinois,2007,14,32
Indiana,2007,11,35
Iowa,2007,13,38
Kansas,2007,17,39
Kentucky,2007,23,30
Louisiana,2007,23,21
Maine,2007,11,38
Maryland,2007,9,36
Massachusetts,2007,13,48
Michigan,2007,18,31
Minnesota,2007,10,40
Mississippi,2007,30,19
Missouri,2007,16,33
Montana,2007,15,40
Nebraska,2007,13,36
Nevada,2007,11,24
New Hampshire,2007,5,42
New Jersey,2007,11,43
New Mexico,2007,22,21
New York,2007,19,36
North Carolina,2007,18,32
North Dakota,2007,12,36
Ohio,2007,16,39
Oklahoma,2007,20,28
Oregon,2007,16,33
Pennsylvania,2007,16,40
Rhode Island,2007,16,30
South Carolina,2007,14,28
South Dakota,2007,14,37
Tennessee,2007,19,27
Texas,2007,20,31
Utah,2007,12,33
Vermont,2007,8,44
Virginia,2007,11,37
Washington,2007,10,37
West Virginia,2007,21,27
Wisconsin,2007,15,37
Wyoming,2007,13,37
Alabama,2009,23,24
Alaska,2009,8,31
Arizona,2009,24,27
Arkansas,2009,19,30
California,2009,19,25
Colorado,2009,15,39
Connecticut,2009,9,43
Delaware,2009,13,33
District of Columbia,2009,30,15
Florida,2009,15,34
Georgia,2009,20,29
Hawaii,2009,16,27
Idaho,2009,13,36
Illinois,2009,18,34
Indiana,2009,21,36
Iowa,2009,13,35
Kansas,2009,17,38
Kentucky,2009,22,33
Louisiana,2009,24,20
Maine,2009,16,38
Maryland,2009,10,39
Massachusetts,2009,18,50
Michigan,2009,19,31
Minnesota,2009,14,44
Mississippi,2009,22,20
Missouri,2009,17,37
Montana,2009,17,40
Nebraska,2009,13,35
Nevada,2009,15,26
New Hampshire,2009,8,45
New Jersey,2009,15,44
New Mexico,2009,23,22
New York,2009,20,36
North Carolina,2009,16,35
North Dakota,2009,14,39
Ohio,2009,19,38
Oklahoma,2009,21,27
Oregon,2009,15,34
Pennsylvania,2009,14,41
Rhode Island,2009,17,33
South Carolina,2009,18,29
South Dakota,2009,18,38
Tennessee,2009,20,27
Texas,2009,21,32
Utah,2009,8,35
Vermont,2009,8,44
Virginia,2009,12,37
Washington,2009,12,38
West Virginia,2009,22,24
Wisconsin,2009,12,38
Wyoming,2009,12,36
Alabama,2011,21,26
Alaska,2011,15,32
Arizona,2011,28,30
Arkansas,2011,19,31
California,2011,23,27
Colorado,2011,17,42
Connecticut,2011,11,43
Delaware,2011,18,35
District of Columbia,2011,35,18
Florida,2011,22,33
Georgia,2011,24,31
Hawaii,2011,19,31
Idaho,2011,17,36
Illinois,2011,20,35
Indiana,2011,25,36
Iowa,2011,12,36
Kansas,2011,21,40
Kentucky,2011,23,35
Louisiana,2011,24,23
Maine,2011,19,39
Maryland,2011,13,43
Massachusetts,2011,14,52
Michigan,2011,19,32
Minnesota,2011,13,44
Mississippi,2011,36,22
Missouri,2011,20,36
Montana,2011,19,42
Nebraska,2011,11,36
Nevada,2011,24,29
New Hampshire,2011,5,46
New Jersey,2011,14,47
New Mexico,2011,24,24
New York,2011,24,34
North Carolina,2011,25,37
North Dakota,2011,17,40
Ohio,2011,21,39
Oklahoma,2011,23,29
Oregon,2011,23,33
Pennsylvania,2011,16,42
Rhode Island,2011,19,36
South Carolina,2011,23,31
South Dakota,2011,14,37
Tennessee,2011,24,27
Texas,2011,26,33
Utah,2011,13,37
Vermont,2011,11,45
Virginia,2011,13,40
Washington,2011,13,39
West Virginia,2011,22,26
Wisconsin,2011,12,39
Wyoming,2011,12,38
Alabama,2013,27,27
Alaska,2013,12,32
Arizona,2013,28,32
Arkansas,2013,28,32
California,2013,22,29
Colorado,2013,16,43
Connecticut,2013,13,43
Delaware,2013,20,37
District of Columbia,2013,31,22
Florida,2013,21,36
Georgia,2013,27,34
Hawaii,2013,20,34
Idaho,2013,18,37
Illinois,2013,19,36
Indiana,2013,22,41
Iowa,2013,13,40
Kansas,2013,23,41
Kentucky,2013,24,36
Louisiana,2013,31,24
Maine,2013,16,41
Maryland,2013,12,43
Massachusetts,2013,15,52
Michigan,2013,18,33
Minnesota,2013,14,47
Mississippi,2013,30,22
Missouri,2013,21,36
Montana,2013,20,40
Nebraska,2013,18,39
Nevada,2013,20,30
New Hampshire,2013,10,49
New Jersey,2013,11,47
New Mexico,2013,28,27
New York,2013,24,36
North Carolina,2013,24,37
North Dakota,2013,16,39
Ohio,2013,20,41
Oklahoma,2013,24,30
Oregon,2013,19,36
Pennsylvania,2013,19,42
Rhode Island,2013,20,38
South Carolina,2013,21,31
South Dakota,2013,14,37
Tennessee,2013,25,34
Texas,2013,23,35
Utah,2013,13,39
Vermont,2013,17,47
Virginia,2013,14,41
Washington,2013,15,43
West Virginia,2013,17,28
Wisconsin,2013,15,40
Wyoming,2013,10,40
