Chart,Pos,Header,Source,Type,filename,startData,endData,startYear,endYear,yAxisLabel,xAxisLabel,progressStep,maxX,maxY,xAdj,yAdj,yearSlider,speed,updated,content
Poverty,0,"California's childhood poverty rate, once among the nation's lowest, is now above average","Source: IPUMS, Official Poverty Status, 5-17-year olds. Black line in chart signifies national average.",Line,poverty,0,60,1977,2014,Percentage of 5-17 Year-Olds in Poverty,,,,,11,-105,,,7/13/2015,
Income,1,"California isn't as rich as it once was, relative to other states","Source: Bureau of Economic Analysis, Personal Income, and American Community Survey/US Census population data. Black line in chart signifies national average excluding California. Adjusted to 2014 dollars.",Line,income,0,100000,1970,2014,Personal Income per Capita (in thousands),,2.325581395,,,,,,,7/13/2015,
ExpStudent,2,"At one time, California invested more in K-12 education than most states but not for the past quarter-century","Source: National Center for Education Statistics, Common Core of Data. Black line in chart signifies national average excluding California. Adjusted to 2014 dollars.",Bar,expend-student,0,30000,1970,2010,K-12 Expenditures per Student (in thousands),,2.380952381,,,,,,,7/13/2015,
Expend13,3,Differences in state funding really add up by the time students graduate from high school,"Source: National Center for Education Statistics, Common Core of Data. Black line in chart signifies national average excluding California. Adjusted to 2014 dollars.",Bar,expend13,0,300000,1982,2010,K-12 Expenditures per Student - 13 Years Cumulative (in thousands),,3.333333333,,,,-180,,,7/13/2015,
IncomeExpendStudent,4,Higher-income states tend to spend more on K-12 education,"Source: Bureau of Economic Analysis, Personal Income, and National Center for Education Statistics, Common Core of Data. Adjusted to 2014 dollars.",Bubble,income-expendstudent,null,null,1970,2010,K-12 Expenditures per Student (in thousands),Personal Income per Capita (in thousands),2.5,80000,30000,-90,-100,1,400,7/8/2015,
Effort,5,"Four decades ago, California and most states spent a bigger share of their taxable wealth on schools than today","Source: Bureau of Economic Analysis, Personal Income, and National Center for Education Statistics, Common Core of Data. Black line in chart signifies national average excluding California.",Line,effort,2,8,1970,2010,K-12 Expenditures Compared With Personal Income,,,,,,-130,,,7/13/2015,
NAEP,6,California students haven't done well on the National Assessment of Educational Progress,"Source: National Center for Educational Progress, Proficency in 4th and 8th Grades Reading and Math",Line,naep,0,60,1,6,Precent Proficient in 4th/8th Grade Math/Reading,,,,,,-120,,,7/8/2015,
NAEPpoverty,7,States with the highest percentages of poor children tend to do worse on NAEP,"Source: National Center for Educational Progress, Proficency in 4th and 8th Grades Reading and Math, and IPUMS, Official Poverty Status, 5-17-year olds",Bubble,NAEPpoverty,null,null,2003,2011,Precent Proficient in 4th/8th Grade Math/Reading,Percentage of 5-17 Year Olds in Poverty,20,60,60,-90,-120,2,1000,7/8/2015,
NAEPincome,null,9. State level data does not show the impact of family income on NAEP scores,"Source: National Center for Educational Progress, Proficency in 4th and 8th Grades Reading and Math; Bureau of Economic Analysis, Personal Income, and American Community Survey/US Census population data. Adjusted to 2014 dollars.",Bubble,NAEPincome,null,null,2003,2011,Personal Income per Capita (in thousands),"Average NAEP Proficency in Math and Reading, 4th and 8th Grades",20,60,100000,-10,-90,2,1000,6/30/2015,
NAEPexpend,8,There is correlation at the state level between per student spending and test results,"Source: National Center for Educational Progress, Proficency in 4th and 8th Grades Reading and Math, and National Center for Education Statistics, Common Core of Data. Adjusted to 2014 dollars.",Bubble,NAEPexpend,null,null,2003,2009,Precent Proficient in 4th/8th Grade Math/Reading,K-12 Expenditures per Student (in thousands),25,30000,60,-100,-120,2,1000,7/8/2015,
Salaries,9,"California pays teachers more than most states, but it's also an expensive place to live","Source: National Education Association, Average Teacher Salary. Black line in chart signifies national average. Adjusted for 2014 dollars.",Line,salaries,20000,100000,1970,2013,Average K-12 Teacher Salary (in thousands),,,,,,-110,,,7/8/2015,
Salaries-Income,10,Teachers' pay has been declining nationwide relative to other workers,"Source: Bureau of Economic Analysis, Personal Income, and National Education Association, Average Teacher Salary. Black line in chart signifies national average. Adjusted for 2014 dollars.",Line,sVi,0,300,1970,2013,Average Teacher Salary as Percentage of Personal Income per Capita,,,,,,-190,,,7/13/2015,
TeacherPayStudents,11,Other states have reduced student-teacher ratios while paying salaries comparable to California,"Source: National Center for Education Statistics, Common Core of Data, and National Education Association, Average Teacher Salary. Adjusted for 2014 dollars.",Bubble,teacherpaystudents,null,null,1970,2012,K-12 Students per Teacher,Average Teacher Salary (in thousands),2.380952381,100000,30,-10,-90,1,400,6/30/2015,"California spends more on teacher salaries relative to its per-student spending compared with other states. It also has one of the highest ratios of students to certificated personnel, which include resource teachers and special education teachers, along with classroom teachers. Student-teacher ratio is different from class size; the terms aren’t interchangeable.|Over time, most states have increased expenditures and reduced class sizes from 1970, when the student-teacher ratio was between 20:1 and 24:1. High-spending states like New York, New Jersey, Massachusetts and Rhode Island have increased teacher pay and reduced the overall student-certificated teacher ratio in the state. In many states, teacher pay has kept up with inflation but not increased substantially. California stands apart with relatively low funding per student and high teacher costs. The result is that California’s ratio of students to certificated teachers has remained among the highest in the nation."
