State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Alabama,4.47,4.46,4.22,4.38,4.26,4.54,4.38,4.49,4.52,4.15,4.56,4.2,4.14,3.63,3.74,3.85,3.68,3.66,3.99,3.82,3.91,3.68,3.64,3.75,3.81,3.86,3.92,3.94,3.97,4.11,4.06,3.97,4.04,4.01,4.03,4.2,4.32,4.5,4.17,4.34,3.92,3.51,3.43
Alaska,7.23,7.33,7.07,7.05,6.91,6.2,5.91,6.07,6.68,7.1,7.85,7.96,7.4,7.52,7.58,7.64,7.18,7.29,6.87,7.03,6.84,7.08,6.93,6.83,6.72,6.71,6.71,6.55,6.57,6.64,6.42,6.29,6.22,6.21,6.25,6.21,6.21,6.83,6.52,7.05,6.72,6.16,6.08
Arizona,4.59,4.74,4.46,4.39,4.85,5.2,5.17,4.79,4.31,4.23,4.14,3.88,3.95,3.84,3.66,3.8,3.87,3.91,3.89,3.83,3.99,3.98,3.96,3.9,3.82,3.72,3.63,3.55,3.42,3.47,3.57,3.78,3.98,3.9,3.87,3.79,3.78,3.84,3.85,4,3.59,3.17,3.18
Arkansas,4.55,4.49,4.25,4.03,4.13,4.26,4.16,4.18,3.98,4.19,4.12,3.87,3.9,4.14,4.13,4.19,4.13,4.3,4.38,4.36,4.45,4.6,4.35,4.35,4.29,4.31,4.21,4.16,4.1,4.16,4.14,4.39,4.45,4.49,4.81,4.92,4.82,4.65,4.49,4.71,4.41,3.99,3.99
California,4.35,4.35,4.33,4.35,4.46,4.53,4.37,4.31,3.87,3.68,3.5,3.36,3.24,3.3,3.28,3.39,3.48,3.4,3.5,3.6,3.55,3.58,3.48,3.53,3.51,3.52,3.62,3.73,3.57,3.71,3.78,3.96,4.04,3.99,3.88,3.85,3.83,3.93,3.73,3.88,3.48,3.08,3.2
Colorado,4.8,4.75,4.57,4.49,4.59,4.7,4.81,4.88,4.79,4.59,4.4,4.17,4.07,4,4.02,4.12,4.19,4.11,4.17,4.07,4.12,4.04,3.96,3.69,3.74,3.57,3.51,3.53,3.45,3.37,3.24,3.29,3.52,3.54,3.56,3.54,3.38,3.58,3.33,3.69,3.53,3.22,3.22
Connecticut,4.29,4.43,4.44,4.41,4.53,4.19,4.19,4.06,3.87,3.65,3.76,3.58,3.67,3.65,3.81,3.59,3.77,3.92,3.87,4.13,4.11,4.2,4.01,4.1,4.28,4.19,4.13,4.08,4.05,4.12,3.98,4.03,4.21,4.35,4.39,4.45,4.27,4.23,4.31,4.66,4.23,3.77,3.85
Delaware,5.07,4.91,5.1,4.95,4.93,5.01,4.9,4.73,4.58,4.74,4.23,3.9,3.87,3.97,3.92,3.98,4.02,3.93,3.93,3.85,3.83,3.79,3.84,3.98,4.12,4.08,4.12,4.16,4.03,4.16,4.21,4.17,4.22,4.35,4.4,4.52,4.31,4.29,4.24,4.59,4.47,4.05,4.13
District of Columbia,4.16,3.96,3.97,4.26,4.18,4.17,4.26,4.11,3.92,4.06,3.78,3.67,3.68,3.82,3.61,3.55,3.65,3.83,4.18,4.3,4.11,4.12,3.91,4.01,3.67,3.74,3.35,3.28,3.36,3.69,3.59,3.5,3.4,3.67,3.59,3.31,3.25,3.42,3.3,3.4,3.07,2.65,2.61
Florida,4.04,3.83,3.59,3.55,4.02,3.88,3.64,3.54,3.26,3.35,3.42,3.14,3.06,3,3.03,3.06,3.15,3.24,3.4,3.48,3.57,3.52,3.46,3.5,3.53,3.43,3.36,3.37,3.3,3.22,3.22,3.19,3.22,3.31,3.27,3.3,3.32,3.36,3.15,3.46,3.18,2.88,3.01
Georgia,4.62,4.13,4.47,4.01,4.31,4.45,4.46,4.13,4,3.9,3.66,3.78,3.74,3.7,3.71,3.83,3.84,3.89,4.03,4.22,4.2,4.03,4.04,4.07,4.09,4.11,4.13,4.16,4.23,4.25,4.26,4.42,4.63,4.55,4.59,4.7,4.75,4.85,4.69,4.97,4.62,4.14,4.2
Hawaii,4.42,4.18,3.8,4.15,3.79,4.07,4.18,4.16,3.89,3.67,3.58,3.55,3.82,3.56,3.4,3.55,3.37,3.33,3.22,3.15,3.41,3.42,3.4,3.46,3.49,3.46,3.48,3.55,3.55,3.65,3.45,3.75,3.97,4.01,3.9,3.98,4.16,4.04,4.02,4.2,3.93,3.52,3.5
Idaho,4.44,4.44,4.26,4.1,4.07,4.44,4.22,4.53,4.35,4.32,4.31,4.11,4.26,4.12,4.29,4.31,4.4,4.35,4.3,4.31,4.48,4.56,4.4,4.28,4.4,4.4,4.42,4.48,4.45,4.39,4.37,4.37,4.33,4.31,4.09,4.02,3.84,3.85,3.85,4,3.47,3.03,3.04
Illinois,4.33,4.21,4.38,4.1,4.29,4.21,4.05,3.95,3.82,3.95,3.8,3.54,3.48,3.48,3.36,3.43,3.48,3.53,3.62,3.62,3.74,3.78,3.77,3.7,3.69,3.52,3.61,3.64,3.73,3.82,3.85,3.97,4.08,4.15,4.1,4.08,4.03,4.11,4.24,4.48,4.07,3.65,3.63
Indiana,4.63,4.58,4.34,4.06,4.13,4.22,4.09,3.94,3.94,3.88,3.7,3.78,3.84,3.99,3.98,4,4.15,4.19,4.46,4.43,4.51,4.53,4.43,4.44,4.32,4.34,4.53,4.43,4.44,4.54,4.51,4.49,4.61,4.67,4.79,4.73,4.59,4.32,4.32,4.7,4.52,4.13,4.11
Iowa,5.14,5.4,4.97,4.32,4.58,4.85,4.97,4.78,4.59,4.52,4.79,4.44,4.54,4.63,4.37,4.35,4.37,4.54,4.57,4.39,4.43,4.76,4.64,4.76,4.52,4.57,4.4,4.38,4.3,4.38,4.29,4.36,4.32,4.24,4.08,4.23,4.21,4.19,4.09,4.4,4.24,3.72,3.73
Kansas,4.46,4.32,4.28,4.03,4.16,3.6,4.14,4.01,4.15,3.88,4.07,3.91,3.91,4.01,3.98,4.1,4.09,4.12,4.29,4.39,4.33,4.36,4.46,4.46,4.39,4.37,4.22,4.16,4.1,4.14,4.26,4.31,4.35,4.36,4.27,4.44,4.4,4.42,4.23,4.49,4.18,3.65,3.73
Kentucky,4.32,4.07,3.85,3.69,3.72,3.82,3.74,3.77,3.89,3.81,3.69,3.51,3.51,3.72,3.4,3.38,3.63,3.79,3.85,3.99,4.37,4.51,4.37,4.41,4.24,4.3,4.32,4.2,4.17,4.15,4.03,4.14,4.16,4.2,4.22,4.38,4.28,4.39,4.22,4.43,4.09,3.66,3.63
Louisiana,5.43,5.5,5.25,5.01,5.02,4.98,4.59,4.63,4.23,4.07,4.77,4.34,4.15,4.08,4.29,4.4,4.28,4.31,4.42,4.78,4.72,4.7,4.42,4.37,4.29,4.18,4.23,4.32,4.34,4.38,4.26,4.24,4.36,4.43,4.41,4.1,4.22,4.35,4.33,4.58,4.24,3.83,3.82
Maine,5.04,5.27,4.99,5,5.02,4.75,4.75,4.76,4.67,4.62,4.27,4.31,4.31,4.48,4.46,4.75,4.85,4.91,4.91,5.15,5.05,5.19,5.4,5.2,5.28,5.19,5.11,5.06,4.96,5.04,5,5,5.11,5.05,5,5.05,5.1,4.98,4.85,4.87,4.57,4.07,3.97
Maryland,4.63,4.62,4.53,4.44,4.63,4.67,4.57,4.5,4.42,4.23,4.1,3.92,3.71,3.77,3.57,3.52,3.54,3.59,3.68,3.79,3.9,3.85,3.84,3.88,3.93,3.94,3.91,3.91,3.85,3.87,3.83,3.84,3.93,3.91,3.87,3.96,4.04,4.23,4.17,4.4,4.17,3.8,3.87
Massachusetts,4.31,4.16,4.4,4.82,4.92,5.44,5.39,5.32,5.12,4.9,4.6,3.95,3.75,3.58,3.44,3.45,3.52,3.56,3.57,3.58,3.57,3.59,3.59,3.69,3.77,3.79,3.78,3.84,3.84,3.91,3.81,3.94,4.05,4.18,4.19,4.16,4.06,4.09,4.15,4.38,4.05,3.63,3.65
Michigan,5.4,5.53,5.35,5.31,5.43,5.58,5.23,5.24,5.32,5.21,5.46,5.12,5.1,4.85,4.66,4.64,4.54,4.71,4.81,4.8,4.9,5.09,4.98,4.89,4.81,4.91,4.93,4.83,4.83,5.08,4.87,4.99,5.17,5.09,5.12,5.12,5.08,4.95,4.91,5.22,4.6,4.04,4.01
Minnesota,5.73,5.84,5.78,5.2,5.51,5.56,5.49,5.18,4.91,4.75,4.55,4.4,4.18,4.3,4.15,4.2,4.24,4.21,4.4,4.27,4.32,4.4,4.32,4.4,4.36,4.31,4.17,4.22,4.14,4.12,4.06,3.96,4.02,3.98,3.88,3.96,3.92,3.89,4.03,4.18,3.67,3.23,3.41
Mississippi,5.14,5.02,4.72,4.46,4.52,4.6,4.65,4.76,4.84,4.64,4.05,3.79,4.13,4.47,4.23,4.15,4.22,4.37,4.58,4.58,4.47,4.3,4.16,4.21,4.33,4.28,4.1,4.13,4.1,4.32,4.2,4.06,4.32,4.45,4.47,4.57,4.55,4.5,4.35,4.46,4.03,3.58,3.56
Missouri,3.87,4,3.98,3.88,4.01,3.92,3.83,3.73,3.64,3.57,3.59,3.35,3.24,3.37,3.25,3.29,3.46,3.59,3.83,3.81,3.87,3.81,3.68,3.79,3.82,3.86,3.84,3.84,3.81,3.88,3.89,4.02,4.09,3.96,3.94,4.07,4,4.08,3.95,4.21,3.97,3.59,3.62
