State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alabama,3457,3628,3806,4275,4213,4614,4808,5049,5338,4957,5275,4987,5036,4598,5086,5304,5227,5353,6041,6001,6210,5935,6088,6339,6644,6830,7022,7247,7639,8126,8209,8189,8399,8488,8887,9369,9912,10552,9941,9932,9574
Alaska,8822,8971,9101,10327,10736,12091,12833,12910,13429,13912,15817,15785,17168,16756,16443,16768,15400,14751,13887,14464,13586,13646,13593,13334,13098,12964,12630,12402,12388,12638,12784,12902,13123,13199,13774,14112,14673,16934,17140,17802,18503
Arizona,4383,4676,4675,4676,5638,5877,6085,5850,5821,6081,6012,5917,5974,6222,6175,6620,7422,7289,7459,7096,6990,6877,6977,6795,6887,7030,6763,6861,6902,7190,7631,7949,8380,7834,8014,7970,8714,8955,8960,8869,8515
Arkansas,3281,3461,3590,3911,4000,4137,4205,4443,4587,4799,4552,4502,4543,4969,5294,5512,5524,5774,6049,6164,6268,6564,6563,6630,6755,6908,6918,7011,7246,7546,7712,8447,8594,8871,9780,9966,10095,10192,10023,10548,10627
California,5500,5646,6118,6446,6718,6937,7132,7487,7326,7259,7002,6904,6667,7058,7397,7775,8146,8078,8413,8595,8322,8064,8028,7971,7906,7909,8186,8576,8678,9228,9876,10180,10214,10144,10179,10346,10723,11216,10577,10392,10051
Colorado,4783,4979,5170,5507,5760,5941,6426,6898,7318,7362,7207,7179,7225,7439,7803,8064,8238,8080,8305,8317,8335,8071,8172,7861,8205,8099,8178,8514,8780,9010,9223,9527,9985,9881,10086,10201,10039,10795,10000,10214,9894
Connecticut,6086,6289,6609,6734,6889,6322,6665,6904,7068,7065,7788,7953,8627,9050,10306,10209,11123,12304,12964,14245,13668,13242,13352,13459,13716,13405,13216,13412,13786,14124,14185,14415,14839,15019,15704,16203,16425,17107,17336,17819,18122
Delaware,5887,5869,6541,6734,6697,6867,7264,7353,7722,8434,7815,7538,7790,8418,8768,9272,9565,9598,9920,10167,9885,9730,9749,10047,10445,10464,10822,10999,11250,11882,12389,12476,12827,13209,13749,14165,13883,13942,13391,13568,13703
District of Columbia,6531,6707,7205,7933,7957,8062,8563,8805,8685,9166,8474,8580,9155,9927,10112,10278,11128,11797,13782,15026,14541,14603,15748,16286,14975,14865,13637,13965,15895,16206,18874,20316,18026,19082,20110,19574,21408,22240,24302,26488,26183
Florida,4724,4646,4741,5091,5763,5540,5444,5584,5595,5980,6347,6217,6191,6469,6859,7171,7592,7871,8424,8775,8800,8378,8359,8437,8531,8391,8286,8386,8606,8476,8678,8498,8647,8910,9208,9638,10235,10558,9930,9975,10000
