State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alabama,58525,59651,61083,62553,63491,64610,66016,67189,68331,68919,70032,71081,72711,74475,76859,78986,81285,84138,86951,89066,91427,93668,96573,99801,103317,107163,110226,112161,113697
Alaska,159392,167227,174551,182103,187085,191024,192810,194429,195070,195270,194957,192531,189883,185740,181684,177708,173405,170681,168736,167769,166447,166075,166197,166707,168016,171785,175893,173182,171055
Arizona,70548,72358,73830,75751,78456,80078,81631,82623,83751,84794,85676,86448,87402,88441,88971,89645,89922,89694,90033,90516,91778,92608,93727,94703,96593,98627,100527,101426,101720
Arkansas,53167,54834,56638,58525,60116,61857,63742,65669,67464,69409,71146,73196,75413,77743,79658,81349,83055,85044,86951,89314,91702,94265,97432,100781,104191,107573,110639,113518,116261
California,85780,87314,89038,90669,92343,93682,95135,96575,97397,98123,98880,99834,100821,102043,103153,104314,105203,106268,108037,109777,111371,113164,115246,117527,120236,123493,126120,127937,128990
Colorado,80466,83083,85861,88715,91404,93685,96014,97878,99294,100037,100836,101479,102490,103351,104078,104779,105483,106243,107367,108569,110212,111733,113717,115713,117857,120407,122277,123738,124607
Connecticut,89589,92505,96457,99999,104317,109649,116186,123653,130306,136385,142571,148153,153827,158530,162630,165688,169210,172164,174014,175441,176023,177356,179777,182585,185504,188844,192714,196474,200196
Delaware,91048,93550,96381,99085,101865,104736,107733,110575,113072,115051,116347,118557,121418,124053,126417,128621,130561,132849,135586,138111,140732,144007,147962,152307,156084,159537,162424,164683,167289
District of Columbia,104118,107457,110792,113821,116980,120760,126394,132759,138415,144244,150745,158429,164724,170343,173998,177784,183317,188315,195284,201708,204654,209130,214550,218305,223357,230499,239793,248654,255706
Florida,70737,72454,74634,77026,79487,81562,84403,87683,90850,93590,95933,97990,100267,102431,104220,105723,107136,108006,108801,108873,108745,108853,109670,110929,112699,114694,116210,117259,118306
Georgia,58809,60002,61824,63384,65433,67423,69936,72587,75312,77560,80049,82980,85853,88853,91857,94681,97608,100503,103540,106353,109146,111755,114895,118129,121509,125033,127872,130484,132371
Hawaii,83565,85104,86735,88928,90088,91586,92691,93569,95093,96872,99663,101848,103993,105299,106475,107864,109011,110741,112205,114308,117103,119388,121913,124313,128561,133118,138135,141735,144811
Idaho,58540,59545,60766,61827,62898,63599,64292,65257,66028,66720,67577,68582,70189,71902,73827,75697,77897,80164,82843,85597,88065,90244,92356,94331,96177,97818,99142,100537,101215
Illinois,83487,84618,85987,87029,88403,89822,91865,93946,96032,97529,99795,102211,105025,107547,109889,112312,115100,117863,120687,123079,125655,128192,130981,132783,135062,137764,141227,145236,148691
Indiana,65082,66412,68038,69765,71816,74127,77009,80010,83051,85694,88635,92127,95405,98686,102146,105197,108590,111917,115263,117806,120303,122878,125840,128180,130201,131657,133093,133576,133581
Iowa,81629,83705,85550,87375,89348,91637,93407,94832,96107,97251,98908,100375,101995,103635,105265,107005,108898,110863,112667,114603,116837,118833,120577,122081,123827,125949,128142,130626,132815
