State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alabama,3401,3575,3750,4208,4149,4540,4734,4971,5255,4881,5192,4910,4959,4527,5007,5220,5146,5268,5946,5907,6113,5843,5994,6241,6540,6723,6911,7134,7519,7999,8081,8061,8268,8354,8748,9222,9757,10386,9786,8846,8670
Alaska,8649,8863,8949,10177,10590,11883,12618,12725,13234,13697,15558,15545,16904,16484,16187,16501,15159,14529,13669,14237,13366,13434,13384,13132,12897,12761,12428,12211,12198,12435,12584,12702,12915,12994,13556,13894,14441,16666,16869,9717,10084
Arizona,4317,4608,4596,4601,5551,5789,5994,5754,5727,5987,5916,5827,5881,6127,6080,6517,7306,7173,7342,6986,6882,6770,6869,6688,6781,6920,6657,6754,6794,7078,7512,7825,8248,7712,7889,7845,8578,8815,8820,7556,7048
Arkansas,3227,3405,3539,3847,3942,4068,4143,4375,4515,4724,4478,4433,4471,4894,5209,5426,5438,5683,5953,6070,6170,6460,6461,6528,6650,6801,6809,6900,7132,7427,7590,8316,8458,8733,9627,9810,9938,10032,9867,9688,9643
California,5414,5557,6023,6345,6613,6828,7020,7370,7212,7146,6893,6796,6563,6948,7281,7654,8019,7952,8281,8460,8192,7938,7903,7847,7783,7785,8058,8442,8543,9084,9721,10021,10054,9985,10020,10184,10556,11040,10412,9875,9495
Colorado,4705,4902,5086,5420,5674,5847,6323,6789,7201,7246,7095,7066,7112,7322,7680,7940,8109,7955,8176,8187,8205,7944,8045,7738,8077,7973,8049,8381,8644,8869,9079,9378,9830,9726,9928,10041,9882,10627,9843,9510,9250
Connecticut,5994,6194,6507,6632,6781,6226,6558,6799,6958,6955,7667,7826,8492,8910,10146,10049,10950,12113,12763,14025,13452,13037,13141,13249,13500,13195,13010,13204,13571,13904,13963,14190,14607,14785,15458,15949,16168,16840,17065,16770,16926
Delaware,5790,5795,6433,6632,6585,6761,7167,7234,7596,8298,7681,7414,7662,8292,8626,9137,9412,9456,9758,10009,9731,9575,9594,9891,10275,10297,10656,10830,11077,11700,12193,12283,12630,13006,13530,13939,13668,13728,13184,12915,13436
District of Columbia,6430,6621,7091,7792,7824,7931,8427,8660,8537,9009,8338,8447,9011,9769,9956,10120,10951,11604,13565,14792,14316,14366,15510,16022,14742,14630,13424,13742,15653,15949,18573,19989,17738,18792,19786,19265,21074,21884,23924,22285,20794
Florida,4651,4572,4667,5012,5673,5452,5359,5496,5507,5885,6248,6120,6095,6368,6752,7059,7473,7748,8293,8639,8663,8247,8228,8305,8397,8259,8157,8255,8472,8343,8543,8365,8511,8771,9064,9487,10075,10392,9775,9206,9302
Georgia,3929,3730,4417,4262,4562,4608,4865,4711,4808,4785,4469,4796,4867,5122,5552,5977,6311,6552,7121,7516,7436,7056,7274,7400,7669,7867,8126,8376,8904,9206,9589,9934,10309,10045,10196,10508,10780,11193,10706,10738,10263
Hawaii,5685,5513,5391,6291,6007,6456,6882,7072,6885,6698,6766,6691,7228,7224,7144,7584,7451,7505,7561,7760,8596,8664,9489,8951,8836,8534,8400,8533,8731,9181,8969,9664,10555,10881,11189,11889,13199,13393,13551,12000,11609
Idaho,3722,3823,4045,4162,4435,4538,4525,4944,5069,4970,4911,4650,4746,4727,5044,5106,5233,5136,5231,5490,5715,5761,5827,5916,6257,6459,6652,6914,7306,7500,7815,7985,7958,7894,7873,7802,7762,7898,7783,8047,7592
Illinois,5601,5553,6150,6155,6420,6357,6413,6657,7060,7192,6804,6566,6559,6732,6922,7192,7529,7839,8400,8494,8743,8557,9458,9220,9380,9081,9074,9345,9980,10292,10663,10792,11070,11280,11346,11260,11499,12082,12544,13083,12800
Indiana,4457,4590,4663,4781,4775,4863,5024,5137,5482,5481,5084,5336,5409,5787,6216,6390,6832,7086,7745,8025,8178,8125,8422,8576,8614,8690,9247,9267,9783,10159,10432,10288,10522,10753,11087,10762,10597,10070,10126,9730,9272
Iowa,5131,5463,5510,5571,5641,6163,6449,6602,7059,6948,7087,6957,7048,7207,7308,7335,7544,7930,7933,7874,7877,8203,8605,8554,8577,8688,8837,9048,9228,9509,9734,9869,10108,9873,9947,10109,10300,10699,10881,11321,11237
Kansas,4492,4589,5055,5266,5403,4737,5709,5820,6397,6298,6523,6528,6714,6985,7275,7511,7597,7637,7904,8059,7905,7789,8396,8294,8321,8339,8323,8473,8828,9073,9688,10005,10046,10222,10149,10707,11114,11508,11468,11259,10916
Kentucky,3709,3634,3713,3800,3935,4102,4248,4512,4899,4996,4627,4505,4576,4893,4820,4826,5236,5559,5928,6358,6947,7176,7456,7589,7485,7710,8028,7946,8402,8597,8540,9113,9145,9210,9402,9771,9764,10101,9785,9876,9829
Louisiana,4370,4563,4653,4705,4840,4902,4907,5201,5216,5228,6429,6087,5879,5704,6135,6411,6042,5920,6179,6810,6870,6868,7102,7129,7179,7134,7379,7873,8294,8433,8430,8887,9276,9510,9777,10498,10709,11703,11999,11383,11122
Maine,4197,4483,4429,4810,4771,4418,4855,5037,5196,5424,5096,5297,5524,6023,6472,7239,7630,8134,8529,9212,8874,8862,9535,9161,9631,9530,9717,9937,10416,10902,11307,11818,12341,12450,12868,13058,13622,13399,13382,12753,12603
Maryland,5446,5659,5902,6094,6438,6573,6830,7089,7413,7358,7296,7326,7317,7951,8144,8493,8950,9382,10020,10473,10571,10138,10479,10395,10526,10500,10450,10641,10821,11146,11526,11793,12222,12320,12717,13392,14287,15395,15354,15131,14838
Massachusetts,5657,5467,5989,6723,6671,7307,7598,8008,8185,8177,7734,7235,7419,7714,8191,8730,9545,10184,10804,10834,10485,10182,10422,10599,10912,11010,11150,11573,12102,12637,13134,13753,13869,14277,14711,14794,15173,15823,16194,15984,15363
Michigan,5631,5888,6174,6610,6480,6699,6801,7452,8049,8009,8176,7759,7716,7702,7991,8356,8556,8922,9323,9564,9615,9830,10390,10349,10653,10907,10615,10956,11394,12180,11564,11739,11847,11969,11970,11851,11859,11647,11556,10413,10217
Minnesota,5771,6049,6330,6376,6647,6689,6940,7148,7327,7371,7122,7113,7009,7473,7868,8101,8424,8475,8892,8827,8817,8707,8722,8685,8933,8959,9011,9372,9845,10165,10457,10296,10628,10782,10898,11085,11247,11483,12081,11777,11581
Mississippi,3371,3521,3685,3806,3884,3930,4310,4695,5031,5033,4250,4098,4486,4916,4927,4862,4745,4958,5345,5513,5361,5212,5453,5698,6192,6270,6213,6449,6752,7256,7242,7279,7754,8111,8337,8811,8851,9078,8925,8626,8145
Missouri,4038,4374,4562,4708,4775,4859,5030,5219,5464,5533,5500,5373,5331,5779,5952,6204,6681,7025,7562,7649,7615,7330,7406,7611,7877,8012,8106,8320,8618,8922,9286,9641,9845,9679,9840,10066,10226,10715,10704,10833,10307
Montana,4690,4677,5051,5654,5902,6252,6651,6859,7068,7262,6924,6983,7243,7643,7813,7994,8097,7951,7661,7963,8391,8258,8227,8201,8130,8073,8187,8350,8589,8880,9152,9337,9769,9978,10112,10365,10636,11002,11027,11255,11094
Nebraska,5000,4968,5249,5488,5678,5707,6234,6215,6576,6502,6342,6555,6812,7123,7346,7429,7544,7612,8078,8552,8443,8451,8503,8672,8857,8813,8806,8786,9084,9502,9942,10369,10661,10928,11084,11382,11638,11873,11739,12879,12949
Nevada,4520,4905,5038,5155,5104,5392,5429,5790,5912,6126,5448,5725,5832,5816,5871,6918,6764,6762,7020,7171,7651,7778,7781,7586,7500,7548,7616,7755,8060,8122,7916,8061,7959,8190,8465,8643,9095,9289,9082,8977,8751
New Hampshire,4426,4558,4875,4866,5135,4986,5297,5130,5473,5551,5766,5820,6059,6340,6687,7035,7661,8375,8522,8996,9183,8962,9004,8850,8837,8867,8898,9041,9301,9707,9990,10567,11251,11757,12230,12594,12918,13607,13817,14059,14317
New Jersey,6394,6683,7082,7516,7629,7384,7903,8349,8754,9069,8281,8718,8939,9510,9330,11128,11708,12427,13318,14178,14558,14892,15626,15830,15601,15485,15398,15240,15889,15778,16597,16744,17492,18113,18567,19045,19938,21105,19541,19206,18671
New Mexico,4119,4341,4458,4553,4737,4984,5293,5606,5900,5998,5839,6196,6418,6262,6452,6304,6530,6541,6574,6474,6697,6717,6970,6835,7204,7316,7239,7357,7844,8225,8625,9154,9332,9707,9824,10156,10411,10616,10646,9957,9303
New York,8289,8359,8671,9380,9336,8933,8677,9229,9313,9470,9118,9448,9756,10390,10748,11306,12004,12708,13107,13249,13389,12799,13800,13908,13972,13666,13545,13751,14326,14741,15505,15707,16546,17038,17805,18400,19115,20014,20407,23865,23345
North Carolina,3808,3922,4224,4553,4755,4557,4719,4961,5289,5249,5288,5064,4856,5054,5510,5965,6255,6467,7079,7551,7553,7263,7524,7515,7601,7416,7373,7684,8136,8511,8637,8606,8565,8447,8834,8886,9104,8765,9313,8769,8552
North Dakota,4289,4581,4844,5047,5072,5507,5709,5994,6209,6218,6145,6707,6579,6746,6895,6922,6716,6636,7162,7321,6975,7096,7186,7102,7089,7183,7170,7378,7819,7972,8343,8881,8964,9359,10322,10528,10121,10577,10757,11387,11659
Ohio,4424,4532,4878,5011,5054,5170,5374,5558,5820,6080,5995,5884,5971,6466,6837,7070,7247,7373,8288,8513,8462,8751,8574,8681,8799,8799,8955,9140,9583,10062,10422,10827,11356,11598,11674,11753,11680,11834,11792,11312,11238
Oklahoma,3659,3889,4077,4366,4541,4682,5050,5291,5765,5809,5838,6428,6343,6254,5990,6365,6118,5940,6223,6187,6489,6598,6868,7239,7212,7042,7233,7375,7830,7846,8512,8600,8318,8244,8654,8797,9136,9192,9080,8557,7856
Oregon,5560,5891,6220,6343,6634,6883,7073,7279,7740,7743,7870,7586,7634,7723,7828,8042,8266,8750,9055,9141,9261,9013,9339,8962,8938,8904,8842,9376,9820,10063,10250,10107,9754,9703,9989,10355,10394,10793,10620,9758,9093
Pennsylvania,5302,5727,6362,6404,6570,6675,6914,7159,7377,7472,7338,7189,7453,7865,8776,8685,9114,9441,10182,10781,10782,10482,10824,10611,10518,10775,10738,10656,10844,11061,11201,11289,11712,12351,12716,12886,12708,13302,13432,14263,14408
Rhode Island,5236,5491,5906,6196,6587,5306,6699,7222,7666,7510,7498,7042,7832,8335,8763,9215,9597,10103,11028,11103,10582,10422,11125,11236,11480,11440,11604,11822,12205,12822,12978,12861,13509,14163,14544,15206,15734,16452,16147,15629,15824
South Carolina,3644,3761,4173,4252,4408,4346,4499,4825,4952,5126,4594,4616,4599,5088,5793,6100,6305,6447,6778,7084,7147,6993,7053,7071,7165,7398,7598,7826,8198,8788,9208,9492,9388,9357,9598,9996,10150,10521,10323,10058,9572
South Dakota,4405,4491,4702,4831,4831,5298,5199,5327,5636,5707,5325,5589,5691,5988,6165,6289,6236,6291,6642,6597,6639,6735,6936,6737,6833,6594,6619,6858,7569,7956,8449,8545,8625,9102,9300,9373,9417,9700,9441,9368,9118
Tennessee,3537,3647,3788,4011,4419,4000,4800,4771,4900,4888,4737,4550,4600,4630,5038,5298,5631,5856,6396,6398,6276,5869,6295,6349,6525,6579,7002,7388,7553,7761,7937,8091,8201,8450,8658,8576,8473,9046,8802,9585,9875
Texas,3700,4019,4285,4318,4563,4941,5095,5484,5462,5584,5177,5187,6018,5980,6635,6668,6725,6839,7054,7206,7217,7264,7325,7487,7786,7953,8104,8189,8419,9109,9178,9288,9660,9480,9373,9354,9511,9843,9726,6065,5863
Utah,3832,4008,4136,4290,4396,4559,4753,4968,5201,4992,4839,4513,4579,4522,4679,4865,4768,4723,4770,4842,4933,4861,5061,5314,5512,5675,5791,5944,6215,6322,6556,6696,6525,6597,6552,6569,6647,6832,7156,7427,7057
Vermont,5182,5625,5599,5829,5965,5575,5847,6051,6245,6201,6640,6794,7076,7503,7791,8310,8724,10105,10229,10844,11151,10673,10636,10365,10254,10156,10283,10539,11070,11964,12692,13247,13947,14686,15376,15962,16494,17033,17196,17385,16822
Virginia,4437,4681,4916,5111,5235,5239,5458,5312,5523,5856,5723,5678,5974,6257,6612,7122,7511,7943,8322,8812,8851,8405,8662,8664,8775,8715,8864,9089,9384,9810,9953,10004,10266,10558,11130,11464,12006,12272,12121,11738,11228
Washington,5192,5467,5683,5998,6107,6203,6367,7046,7205,7662,6684,6301,7205,7543,7764,7807,7843,7948,7994,8235,8292,8381,8719,8662,8668,8634,8562,8828,8786,8972,9200,9336,9485,9465,9631,9645,9939,10281,10484,9799,9975
West Virginia,4043,4407,4283,4348,4487,4812,5068,5221,5328,5609,5567,6134,6166,6232,6741,7048,7426,7341,7048,7555,8151,8034,8727,8787,9077,9171,9194,9356,9757,10241,10437,10593,11095,11190,11458,11640,11546,11818,12039,11949,11837
Wisconsin,5318,5512,5674,5806,6010,6248,6454,6711,7124,7142,6934,6827,7094,7417,7760,8157,8547,8811,9374,9432,9593,9653,10170,10084,10123,10175,10324,10576,11013,11182,11462,11687,12018,12066,12426,12362,12382,12579,12633,13004,13034
Wyoming,5253,5724,6027,6084,6277,6777,6781,6997,7236,7601,7795,8163,9072,9993,10054,10303,10318,9729,9909,9843,9474,9151,9072,8917,9043,8911,8861,9060,9788,10391,10609,11376,11866,12087,12618,13711,15338,15577,15826,15673,15826
