State,Year,Income per Capita,Expenditures per Student
Alabama,1970,18783,3457
Alaska,1970,36030,8822
Arizona,1970,24670,4383
Arkansas,1970,17875,3281
California,1970,30374,5500
Colorado,1970,26086,4783
Connecticut,1970,31546,6086
Delaware,1970,29008,5887
District of Columbia,1970,33291,6531
Florida,1970,25579,4724
Georgia,1970,21639,3992
Hawaii,1970,33510,5780
Idaho,1970,22395,3772
Illinois,1970,28355,5690
Indiana,1970,23432,4529
Iowa,1970,24018,5213
Kansas,1970,24134,4557
Kentucky,1970,19924,3771
Louisiana,1970,19387,4438
Maine,1970,21669,4275
Maryland,1970,29868,5533
Massachusetts,1970,27977,5747
Michigan,1970,25531,5719
Minnesota,1970,25067,5863
Mississippi,1970,16685,3424
Missouri,1970,24048,4101
Montana,1970,22920,4762
Nebraska,1970,23865,5079
Nevada,1970,31631,4609
New Hampshire,1970,24597,4482
New Jersey,1970,30076,6497
New Mexico,1970,20858,4177
New York,1970,30155,8420
North Carolina,1970,20717,3869
North Dakota,1970,20784,4356
Ohio,1970,25256,4494
Oklahoma,1970,22175,3715
Oregon,1970,24707,5646
Pennsylvania,1970,25238,5387
Rhode Island,1970,26238,5326
South Carolina,1970,19692,3701
South Dakota,1970,20717,4475
Tennessee,1970,19955,3591
Texas,1970,23066,3759
Utah,1970,21693,3893
Vermont,1970,22627,5282
Virginia,1970,25427,4509
Washington,1970,26745,5278
West Virginia,1970,19235,4110
Wisconsin,1970,24317,5403
Wyoming,1970,24609,5341
Alabama,1971,19503,3628
Alaska,1971,36481,8971
Arizona,1971,25295,4676
Arkansas,1971,18591,3461
California,1971,30450,5646
Colorado,1971,27031,4979
Connecticut,1971,31525,6289
Delaware,1971,29520,5869
District of Columbia,1971,35832,6707
Florida,1971,26107,4646
Georgia,1971,22291,3792
Hawaii,1971,33459,5598
Idaho,1971,22630,3874
Illinois,1971,28930,5641
Indiana,1971,24149,4663
Iowa,1971,23915,5551
Kansas,1971,25119,4660
Kentucky,1971,20280,3688
Louisiana,1971,19889,4636
Maine,1971,21817,4560
Maryland,1971,30794,5749
Massachusetts,1971,28404,5553
Michigan,1971,26323,5982
Minnesota,1971,25301,6145
Mississippi,1971,17335,3581
Missouri,1971,24611,4445
Montana,1971,22957,4762
Nebraska,1971,24780,5043
Nevada,1971,31823,4975
New Hampshire,1971,24763,4637
New Jersey,1971,30607,6791
New Mexico,1971,21338,4406
New York,1971,30689,8491
North Carolina,1971,21110,3985
North Dakota,1971,22630,4668
Ohio,1971,25558,4604
Oklahoma,1971,22624,3947
Oregon,1971,25295,5984
Pennsylvania,1971,25464,5819
Rhode Island,1971,26247,5568
South Carolina,1971,20111,3823
South Dakota,1971,21578,4563
Tennessee,1971,20654,3705
Texas,1971,23325,4082
Utah,1971,22390,4077
Vermont,1971,22969,5703
Virginia,1971,26364,4758
Washington,1971,26709,5557
West Virginia,1971,19918,4475
Wisconsin,1971,24763,5597
Wyoming,1971,25581,5802
Alabama,1972,20742,3806
Alaska,1972,37493,9101
Arizona,1972,26518,4675
Arkansas,1972,19870,3590
California,1972,32005,6118
Colorado,1972,28393,5170
Connecticut,1972,32849,6609
Delaware,1972,30969,6541
District of Columbia,1972,38076,7205
Florida,1972,27730,4741
Georgia,1972,23738,4489
Hawaii,1972,34548,5488
Idaho,1972,24236,4123
Illinois,1972,30273,6248
Indiana,1972,25363,4736
Iowa,1972,25873,5601
Kansas,1972,27017,5134
Kentucky,1972,21484,3771
Louisiana,1972,20788,4725
Maine,1972,22730,4509
Maryland,1972,32277,5997
Massachusetts,1972,29610,6084
Michigan,1972,28149,6273
Minnesota,1972,26530,6433
Mississippi,1972,18783,3745
Missouri,1972,25754,4635
Montana,1972,25488,5116
Nebraska,1972,26331,5339
Nevada,1972,32742,5107
New Hampshire,1972,25873,4969
New Jersey,1972,31994,7196
New Mexico,1972,22690,4531
New York,1972,31841,8809
North Carolina,1972,22690,4290
North Dakota,1972,25929,4939
Ohio,1972,26835,4954
Oklahoma,1972,23687,4138
Oregon,1972,26886,6320
Pennsylvania,1972,26875,6462
Rhode Island,1972,27356,5986
South Carolina,1972,21416,4239
South Dakota,1972,23919,4773
Tennessee,1972,22073,3849
Texas,1972,24548,4353
Utah,1972,23506,4202
Vermont,1972,24083,5705
Virginia,1972,27911,4991
Washington,1972,27906,5777
West Virginia,1972,21037,4357
Wisconsin,1972,26003,5764
Wyoming,1972,27305,6118
Alabama,1973,21719,4275
Alaska,1973,40047,10327
Arizona,1973,27252,4676
Arkansas,1973,21698,3911
California,1973,32605,6446
Colorado,1973,29422,5507
Connecticut,1973,33655,6734
Delaware,1973,31992,6734
District of Columbia,1973,38272,7933
Florida,1973,28825,5091
Georgia,1973,24726,4333
Hawaii,1973,35020,6389
Idaho,1973,25760,4237
Illinois,1973,31763,6253
Indiana,1973,27210,4856
Iowa,1973,29177,5656
Kansas,1973,28852,5351
Kentucky,1973,22476,3860
Louisiana,1973,21671,4777
Maine,1973,23771,4894
Maryland,1973,33266,6192
Massachusetts,1973,30115,6831
Michigan,1973,29406,6716
Minnesota,1973,29113,6479
Mississippi,1973,19837,3869
Missouri,1973,26794,4784
Montana,1973,27492,5740
Nebraska,1973,28697,5580
Nevada,1973,33559,5228
New Hampshire,1973,26730,4948
New Jersey,1973,32744,7636
New Mexico,1973,23350,4618
New York,1973,32157,9528
North Carolina,1973,23793,4623
North Dakota,1973,34028,5144
Ohio,1973,27956,5091
Oklahoma,1973,24933,4440
Oregon,1973,27940,6450
Pennsylvania,1973,27759,6506
Rhode Island,1973,27455,6283
South Carolina,1973,22369,4321
South Dakota,1973,28351,4911
Tennessee,1973,23286,4072
Texas,1973,25674,4386
Utah,1973,23878,4354
Vermont,1973,24587,5933
Virginia,1973,28932,5190
Washington,1973,29310,6092
West Virginia,1973,21548,4422
Wisconsin,1973,27178,5898
Wyoming,1973,29438,6198
Alabama,1974,21413,4213
Alaska,1974,42400,10736
Arizona,1974,26440,5638
Arkansas,1974,21389,4000
California,1974,32274,6718
Colorado,1974,29153,5760
Connecticut,1974,33004,6889
Delaware,1974,31016,6697
District of Columbia,1974,38098,7957
Florida,1974,27861,5763
Georgia,1974,23996,4635
Hawaii,1974,35207,6100
Idaho,1974,26402,4512
Illinois,1974,31256,6522
Indiana,1974,26090,4849
Iowa,1974,27213,5727
Kansas,1974,28058,5490
Kentucky,1974,22499,3995
Louisiana,1974,21999,4916
Maine,1974,23473,4842
Maryland,1974,32557,6537
Massachusetts,1974,29345,6777
Michigan,1974,28207,6584
Minnesota,1974,28121,6753
Mississippi,1974,19402,3944
Missouri,1974,25754,4852
Montana,1974,26560,6006
Nebraska,1974,26767,5764
Nevada,1974,31942,5178
New Hampshire,1974,26023,5204
New Jersey,1974,32039,7752
New Mexico,1974,23079,4816
New York,1974,31410,9485
North Carolina,1974,23276,4829
North Dakota,1974,30291,5151
Ohio,1974,27578,5135
Oklahoma,1974,24640,4610
Oregon,1974,27991,6739
Pennsylvania,1974,27506,6674
Rhode Island,1974,26584,6701
South Carolina,1974,22258,4479
South Dakota,1974,25581,4911
Tennessee,1974,22844,4487
Texas,1974,25542,4636
Utah,1974,23449,4472
Vermont,1974,23718,6073
Virginia,1974,28476,5316
Washington,1974,29345,6206
West Virginia,1974,21404,4559
Wisconsin,1974,26762,6107
Wyoming,1974,30051,6381
Alabama,1975,21571,4614
Alaska,1975,48154,12091
Arizona,1975,25342,5877
Arkansas,1975,21021,4137
California,1975,32144,6937
Colorado,1975,28932,5941
Connecticut,1975,32408,6322
Delaware,1975,30371,6867
District of Columbia,1975,38506,8062
Florida,1975,27177,5540
Georgia,1975,23459,4682
Hawaii,1975,34436,6566
Idaho,1975,25267,4609
Illinois,1975,31202,6458
Indiana,1975,25791,4941
Iowa,1975,27823,6262
Kansas,1975,27999,4810
Kentucky,1975,22135,4167
Louisiana,1975,22289,4983
Maine,1975,22900,4489
Maryland,1975,32179,6680
Massachusetts,1975,29024,7425
Michigan,1975,27652,6806
Minnesota,1975,27674,6797
Mississippi,1975,19116,3991
Missouri,1975,25782,4933
Montana,1975,26407,6355
Nebraska,1975,27968,5804
Nevada,1975,31779,5464
New Hampshire,1975,25571,5059
New Jersey,1975,31730,7501
New Mexico,1975,23498,5064
New York,1975,31136,9075
North Carolina,1975,22856,4631
North Dakota,1975,28928,5610
Ohio,1975,27009,5253
Oklahoma,1975,24884,4755
Oregon,1975,27920,6996
Pennsylvania,1975,27458,6781
Rhode Island,1975,26600,5379
South Carolina,1975,21761,4413
South Dakota,1975,25848,5387
Tennessee,1975,22517,4064
Texas,1975,26011,5019
Utah,1975,23287,4634
Vermont,1975,23424,5670
Virginia,1975,28254,5320
Washington,1975,29825,6301
West Virginia,1975,21840,4887
Wisconsin,1975,26693,6348
Wyoming,1975,29887,6886
Alabama,1976,22518,4808
Alaska,1976,50244,12833
Arizona,1976,25987,6085
Arkansas,1976,21819,4205
California,1976,33088,7132
Colorado,1976,29565,6426
Connecticut,1976,33051,6665
Delaware,1976,31100,7264
District of Columbia,1976,39345,8563
Florida,1976,27510,5444
Georgia,1976,24302,4940
Hawaii,1976,34332,6983
Idaho,1976,25983,4590
Illinois,1976,31869,6515
Indiana,1976,26973,5105
Iowa,1976,27697,6549
Kansas,1976,28462,5803
Kentucky,1976,22963,4315
Louisiana,1976,23366,4987
Maine,1976,24365,4932
Maryland,1976,32984,6939
Massachusetts,1976,29544,7717
Michigan,1976,29157,6909
Minnesota,1976,28030,7050
Mississippi,1976,20226,4377
Missouri,1976,26520,5111
Montana,1976,26441,6746
Nebraska,1976,27476,6328
Nevada,1976,32747,5525
New Hampshire,1976,26782,5370
New Jersey,1976,32506,8028
New Mexico,1976,24144,5377
New York,1976,31266,8815
North Carolina,1976,23691,4796
North Dakota,1976,26515,5806
Ohio,1976,28038,5460
Oklahoma,1976,25405,5131
Oregon,1976,29174,7184
Pennsylvania,1976,28346,7025
Rhode Island,1976,27360,6802
South Carolina,1976,22647,4573
South Dakota,1976,23957,5283
Tennessee,1976,23412,4875
Texas,1976,26973,5176
Utah,1976,24115,4832
Vermont,1976,24348,5940
Virginia,1976,29036,5545
Washington,1976,30650,6468
West Virginia,1976,22543,5150
Wisconsin,1976,27576,6558
Wyoming,1976,30039,6883
Alabama,1977,23014,5049
Alaska,1977,48660,12910
Arizona,1977,26537,5850
Arkansas,1977,22385,4443
California,1977,33825,7487
Colorado,1977,30232,6898
Connecticut,1977,34173,6904
Delaware,1977,31337,7353
District of Columbia,1977,40544,8805
Florida,1977,28299,5584
Georgia,1977,24803,4785
Hawaii,1977,34345,7190
Idaho,1977,25861,5025
Illinois,1977,32767,6764
Indiana,1977,27849,5218
Iowa,1977,28584,6710
Kansas,1977,28900,5916
Kentucky,1977,23893,4584
Louisiana,1977,24107,5283
Maine,1977,24525,5114
Maryland,1977,33423,7200
Massachusetts,1977,30228,8136
Michigan,1977,30654,7570
Minnesota,1977,29447,7260
Mississippi,1977,20881,4767
Missouri,1977,27459,5300
Montana,1977,26408,6974
Nebraska,1977,27845,6318
Nevada,1977,33962,5888
New Hampshire,1977,27635,5218
New Jersey,1977,33404,8483
New Mexico,1977,24822,5697
New York,1977,31919,9376
North Carolina,1977,24037,5040
North Dakota,1977,25701,6085
Ohio,1977,29103,5645
Oklahoma,1977,26119,5375
Oregon,1977,29795,7392
Pennsylvania,1977,29213,7273
Rhode Island,1977,27978,7334
South Carolina,1977,22858,4902
South Dakota,1977,25435,5400
Tennessee,1977,23940,4847
Texas,1977,27631,5571
Utah,1977,24736,5050
Vermont,1977,24451,6140
Virginia,1977,29795,5396
Washington,1977,31248,7157
West Virginia,1977,23315,5302
Wisconsin,1977,28744,6815
Wyoming,1977,31622,7110
Alabama,1978,23866,5338
Alaska,1978,46418,13429
Arizona,1978,28052,5821
Arkansas,1978,23757,4587
California,1978,35055,7326
Colorado,1978,31588,7318
Connecticut,1978,35298,7068
Delaware,1978,31809,7722
District of Columbia,1978,40882,8685
Florida,1978,29577,5595
Georgia,1978,25787,4885
Hawaii,1978,34928,6995
Idaho,1978,26854,5142
Illinois,1978,33541,7172
Indiana,1978,28651,5569
Iowa,1978,30589,7170
Kansas,1978,29544,6500
Kentucky,1978,24490,4978
Louisiana,1978,25307,5299
Maine,1978,24977,5280
Maryland,1978,34420,7531
Massachusetts,1978,31058,8315
Michigan,1978,31610,8176
Minnesota,1978,30510,7442
Mississippi,1978,21365,5113
Missouri,1978,28273,5551
