State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,18460,19198,20413,21374,21074,21226,22153,22639,23479,23213,22364,22403,22257,23047,24195,25037,25891,26292,27099,28105,28185,28215,29104,29137,29754,30337,30498,31136,32494,32856,33324,33611,33872,34343,35602,36023,36540,36841,36487,35804,36210,36271,36474,36481
Alaska,35268,35796,36678,39106,41297,48068,50445,48630,45985,43500,43283,43219,46235,44869,43485,43804,42450,39665,39519,40995,40754,39591,39743,39902,39928,39793,39427,40350,41082,41165,42610,43225,43784,44080,44055,44589,45230,46896,48722,47995,48678,49916,50645,50150
Arizona,24021,24899,26093,26816,26013,24933,25564,26099,27585,27832,27222,27465,26634,27595,29021,29961,31030,31162,31340,31365,30654,30047,30094,30301,31045,31461,32008,32894,34507,34926,35908,35801,35727,36030,37280,38673,40236,40306,38713,36927,36315,36791,37166,36983
Arkansas,17535,18301,19560,21369,21065,20701,21490,22054,23407,22751,21448,21962,21750,22299,23652,24264,24971,24926,25663,26226,26065,26131,27299,27368,27902,28368,28832,29206,30247,30536,30826,31383,31422,32291,33195,33393,34088,35056,35039,34375,34204,35317,36962,36698
California,29822,29974,31511,32095,31769,31641,32571,33297,34503,34504,33717,33645,33151,34005,35571,36306,37354,37922,38609,38650,38300,37321,37594,37017,36989,37577,38423,39378,41603,42850,45147,44819,44332,44704,45830,46485,48106,48502,47193,45174,45171,46361,48208,48434
Colorado,25510,26608,27949,28962,28697,28480,29102,29763,31098,31131,30779,31377,31529,32075,33174,33443,33823,33627,34146,35098,34948,34690,35488,36109,36807,37859,38718,39732,42477,43897,46312,46350,45004,44551,44924,45801,46936,47403,46943,45099,44537,45774,47001,46897
Connecticut,30987,31026,32325,33113,32473,31879,32505,33604,34711,34985,34925,35365,35853,36880,39388,40552,42571,44588,46862,48366,47090,45363,47419,47508,47433,48484,49199,51102,53666,54754,57097,57475,55969,55417,57512,58257,60692,62511,60690,58409,58988,59620,61115,60658
Delaware,28440,29036,30435,31424,30441,29788,30478,30694,31133,30662,30550,30428,30725,31537,32981,34339,35331,36285,37467,39152,38344,38149,38051,37761,37678,38156,39043,39308,41354,41955,43430,44711,45212,44892,45846,45733,46549,46027,44801,44369,43768,44234,44683,44815
District of Columbia,32842,35232,37403,37563,37356,37722,38508,39645,39942,38689,36992,36086,36411,36896,38581,39402,40405,41152,43858,45042,45844,46306,47749,48495,48861,48519,49762,51639,54266,55091,58461,59295,59264,60878,63755,66519,69754,72193,75494,73615,74174,76772,77075,75329
Florida,24981,25682,27263,28327,27365,26678,26994,27756,29021,28859,28777,29121,28878,30295,31470,32490,33562,34084,34995,36284,35556,34569,34835,35211,35363,36182,36592,37055,38631,38982,40011,40188,40210,40436,42003,43257,44720,44756,42974,40571,41107,41663,41649,41497
