State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,3444354,3497076,3539400,3579780,3626499,3678814,3735139,3780403,3831836,3866248,3893888,3918531,3925266,3934102,3951820,3972523,3991569,4015264,4023844,4030222,4040587,4091025,4139269,4193114,4232965,4262731,4290403,4320281,4351037,4369862,4451849,4464034,4472420,4490591,4512190,4545049,4597688,4637904,4677464,4708708,4785570,4801627,4817528,4833722
Alaska,302583,315510,324464,330543,341063,376170,400969,403436,404766,402753,401851,418491,449606,488417,513702,532495,544268,539309,541983,547159,550043,569273,587073,596993,600624,601345,604918,608846,615205,619500,627499,633316,642691,650884,661569,669488,677325,682297,688125,698473,713868,723375,730307,735132
Arizona,1775399,1895814,2008291,2124438,2223196,2284847,2346157,2425197,2515316,2635571,2718215,2810107,2889861,2968925,3067135,3183538,3308262,3437103,3535183,3622185,3665228,3762394,3867333,3993390,4147561,4306908,4432308,4552207,4667277,4778332,5166697,5304417,5452108,5591206,5759425,5974834,6192100,6362241,6499377,6595778,6408790,6468796,6551149,6626624
Arkansas,1923322,1972312,2018638,2059256,2101403,2159526,2170161,2209010,2243127,2271333,2286435,2293201,2294257,2305761,2319768,2327046,2331984,2342355,2342656,2346358,2350725,2370666,2394098,2423743,2450605,2480121,2504858,2524007,2538202,2551373,2678288,2691068,2704732,2722291,2746161,2776221,2815097,2842194,2867764,2889450,2922280,2938506,2949828,2959373
California,19971069,20345939,20585469,20868728,21173865,21537849,21935909,22352396,22835958,23256880,23667902,24285933,24820009,25360026,25844393,26441109,27102237,27777158,28464249,29218164,29760021,30414114,30875920,31147208,31317179,31493525,31780829,32217708,32682794,33145121,33994571,34485623,34876194,35251107,35558419,35795255,35979208,36226122,36580371,36961664,37333601,37668681,37999878,38332521
Colorado,2209596,2303524,2404619,2495868,2541406,2586192,2632306,2696140,2766748,2849234,2889964,2977898,3061564,3133630,3169992,3208723,3237450,3260480,3262281,3275818,3294394,3367567,3459995,3560884,3653910,3738061,3812716,3891293,3968967,4056133,4328070,4433068,4504265,4548775,4599681,4660780,4753044,4842259,4935213,5024748,5048196,5118400,5189458,5268367
Connecticut,3032217,3060938,3068699,3067814,3074047,3082500,3083335,3085722,3091627,3095917,3107576,3128836,3139013,3162354,3180014,3201131,3223740,3247291,3271953,3283403,3287116,3288640,3274997,3272325,3268346,3265293,3267030,3268514,3272563,3282031,3411726,3428433,3448382,3467673,3474610,3477416,3485162,3488633,3502932,3518288,3579210,3588948,3591765,3596080
Delaware,548104,564708,572913,577759,581418,586589,590166,591829,594776,594984,594338,595975,599148,605458,611565,618280,627559,636947,647622,658273,666168,680495,690158,699475,708416,718265,727090,735024,744066,753538,786411,794620,804131,814905,826639,839906,853022,864896,876211,885122,899711,907985,917053,925749
District of Columbia,756668,749781,742241,731488,717947,706871,692295,677228,665052,650016,638333,636893,634174,632433,633382,634549,638269,636930,630432,624168,606900,593239,584183,576358,564982,551273,538273,528752,521426,519000,571744,578042,579585,577777,579796,582049,583978,586409,590074,599657,605125,619624,633427,646449
Florida,6791418,7158304,7511463,7913696,8298762,8518422,8667379,8856183,9102032,9426159,9746324,10192774,10471407,10749851,11039925,11351118,11667505,11997283,12306395,12637715,12937926,13289497,13504775,13713593,13961798,14185403,14426911,14683350,14908230,15111244,16047118,16353869,16680309,16981183,17375259,17783868,18088505,18277888,18423878,18537969,18846054,19083482,19320749,19552860
Georgia,4587930,4711550,4809490,4910374,4999419,5064075,5132812,5219697,5295751,5401384,5463105,5568345,5649792,5728250,5834954,5962661,6084666,6208467,6316142,6411099,6478216,6621279,6759474,6894092,7045900,7188538,7332225,7486094,7636522,7788240,8230161,8419594,8585535,8735259,8913676,9097428,9330086,9533761,9697838,9829211,9713248,9810181,9915646,9992167
Hawaii,769913,801644,828331,851595,867978,886160,904191,918259,931584,953306,964691,978195,993780,1012717,1027922,1039698,1051762,1067918,1079828,1094588,1108229,1131412,1149926,1161508,1173903,1180490,1184434,1189322,1190472,1185497,1211566,1218305,1228069,1239298,1252782,1266117,1275599,1276832,1287481,1295178,1363731,1376897,1390090,1404054
Idaho,713015,738753,763237,782074,807990,831982,856983,883469,910690,932627,943935,962204,973721,981869,990839,994051,990224,984997,985664,994416,1006749,1038915,1066490,1101204,1135459,1165000,1187706,1210638,1230923,1251700,1299551,1321170,1342149,1364109,1391718,1425862,1464413,1499245,1527506,1545801,1570718,1583930,1595590,1612136
Illinois,11110285,11202397,11251948,11251367,11262145,11291743,11342853,11386316,11412561,11396837,11426518,11443458,11423412,11408818,11412132,11399806,11387257,11391178,11390183,11409782,11430602,11535973,11635197,11725984,11804986,11884935,11953003,12011509,12069774,12128370,12437645,12507833,12558229,12597981,12645295,12674452,12718011,12779417,12842954,12910409,12839695,12855970,12868192,12882135
Indiana,5195392,5253396,5302435,5338277,5361890,5365766,5389088,5425638,5470214,5501174,5490224,5480435,5467922,5450395,5458322,5459211,5454108,5473012,5491735,5523693,5544159,5602062,5648649,5701965,5745626,5791819,5834908,5872370,5907617,5942901,6091649,6124967,6149007,6181789,6214454,6253120,6301700,6346113,6388309,6423113,6489965,6516336,6537782,6570902
Iowa,2825368,2851705,2860287,2863715,2867530,2880847,2903082,2913573,2918069,2915739,2913808,2907983,2888189,2870543,2858618,2829684,2791970,2767011,2768388,2770592,2776755,2791227,2806923,2820525,2829422,2840860,2848473,2854396,2861025,2869413,2928184,2929424,2929264,2932799,2941358,2949450,2964391,2978719,2993987,3007856,3050314,3064102,3075039,3090416
Kansas,2249071,2246600,2256375,2265603,2269499,2280578,2301001,2320647,2335657,2350906,2363679,2384849,2401202,2415531,2424086,2427405,2432619,2445367,2461996,2472849,2477574,2495209,2526042,2547605,2569118,2586942,2598266,2616339,2638667,2654052,2692810,2701456,2712598,2721955,2730765,2741771,2755700,2775586,2797375,2818747,2858910,2869548,2885398,2893957
Kentucky,3220711,3298053,3335728,3371024,3416315,3467769,3529257,3573693,3609976,3641804,3660777,3670394,3683445,3694484,3695453,3694826,3687809,3683329,3679999,3677306,3685296,3714686,3756358,3792288,3823215,3855248,3881051,3907816,3934310,3960825,4048903,4069191,4091330,4118627,4147970,4182293,4219374,4256278,4287931,4314113,4347698,4366869,4379730,4395295
Louisiana,3644637,3710487,3761646,3788375,3820109,3886104,3950605,4014459,4068579,4137665,4205900,4283303,4352608,4395316,4400477,4408118,4406919,4344148,4288863,4252894,4219973,4240950,4270849,4284749,4306500,4327978,4338763,4351390,4362758,4372035,4468979,4460816,4466068,4474726,4489327,4497691,4240327,4376122,4451513,4492076,4545392,4575197,4602134,4625470
Maine,993722,1015390,1034292,1045655,1059040,1071995,1088412,1103578,1113566,1122563,1124660,1133033,1136684,1144772,1155635,1162936,1170126,1184574,1203840,1219961,1227928,1235439,1235748,1238256,1237687,1237438,1241436,1245215,1247554,1253040,1277211,1284791,1293938,1303102,1308253,1311631,1314963,1317308,1319691,1318301,1327366,1327844,1328501,1328302
Maryland,3923897,4018324,4073499,4097974,4118815,4139096,4150539,4169595,4183603,4191160,4216975,4261905,4282923,4313327,4365243,4413071,4486957,4565557,4657904,4727301,4781468,4856176,4902545,4942504,4985411,5023650,5057142,5092914,5130072,5171634,5310579,5375033,5439913,5496708,5542659,5582520,5612196,5634242,5658655,5699478,5787193,5840241,5884868,5928814
Massachusetts,5689170,5737580,5760302,5781172,5773548,5757756,5743672,5738199,5736469,5738404,5737037,5768685,5771222,5799407,5840773,5880733,5902678,5935204,5979982,6015478,6016425,5998652,5993474,6010884,6031352,6062335,6085393,6115476,6144407,6175169,6363015,6411730,6440978,6451637,6451279,6453031,6466399,6499275,6543595,6593587,6563263,6606285,6645303,6692824
Michigan,8881826,8974186,9028944,9077956,9117507,9117668,9129205,9171110,9217761,9266268,9262078,9209287,9115198,9047754,9049452,9076293,9127775,9187481,9217998,9253295,9295297,9395022,9470323,9529240,9584481,9659871,9739184,9785450,9820231,9863775,9955308,10006093,10038767,10066351,10089305,10090554,10082438,10050847,10002486,9969727,9876149,9874589,9882519,9895622
Minnesota,3806103,3853486,3869747,3889332,3903925,3932515,3964680,3989364,4015341,4050316,4075970,4111728,4131450,4141456,4157706,4184302,4205212,4235136,4296166,4338057,4375099,4427429,4471503,4521709,4566028,4605445,4647723,4687726,4726411,4775508,4933958,4982813,5017458,5047862,5079344,5106560,5148346,5191206,5230567,5266214,5310337,5347108,5379646,5420380
Mississippi,2216994,2265432,2307117,2349546,2378268,2399449,2429756,2459201,2487816,2507069,2520638,2539036,2556777,2567717,2578051,2588102,2593597,2588545,2580352,2574269,2573216,2591230,2610193,2635574,2663450,2690788,2709925,2731826,2751335,2768619,2848310,2853313,2858643,2867678,2886006,2900116,2897150,2921723,2940212,2951996,2970047,2977886,2986450,2991207
Missouri,4677623,4725764,4758780,4782645,4795930,4808308,4839029,4863173,4889399,4912430,4916686,4932064,4929451,4943733,4975278,5000268,5023068,5056696,5081736,5095830,5117073,5157770,5193686,5237757,5281206,5324610,5367888,5407113,5437562,5468338,5606065,5643986,5680852,5714847,5758444,5806639,5861572,5909824,5956335,5987580,5996063,6010065,6024522,6044171
Montana,694409,710814,718732,726798,736419,748208,757317,769953,782317,787305,786690,795328,803986,814031,820905,822320,813739,805063,800202,799636,799065,807837,822436,839876,854923,868522,876656,878706,879533,882779,903293,905873,909868,916750,925887,934801,946230,957225,968035,974989,990527,997600,1005494,1015165
