State,Year,Income per Capita,Percentage of 6-17 Year-Olds in Poverty
Alabama,1977,22639,25
Alaska,1977,48630,10
Arizona,1977,26099,15
Arkansas,1977,22054,27
California,1977,33297,13
Colorado,1977,29763,10
Connecticut,1977,33604,8
Delaware,1977,30694,8
District of Columbia,1977,39645,21
Florida,1977,27756,19
Georgia,1977,24453,21
Hawaii,1977,33900,9
Idaho,1977,25457,14
Illinois,1977,32201,15
Indiana,1977,27518,13
Iowa,1977,28129,13
Kansas,1977,28483,10
Kentucky,1977,23511,14
Louisiana,1977,23723,25
Maine,1977,24104,14
Maryland,1977,32705,8
Massachusetts,1977,29725,15
Michigan,1977,30221,11
Minnesota,1977,29056,9
Mississippi,1977,20547,31
Missouri,1977,27130,15
Montana,1977,25949,13
Nebraska,1977,27452,8
Nevada,1977,33443,9
New Hampshire,1977,27137,14
New Jersey,1977,32858,13
New Mexico,1977,24242,24
New York,1977,31351,16
North Carolina,1977,23734,21
North Dakota,1977,25322,13
Ohio,1977,28648,12
Oklahoma,1977,25745,16
Oregon,1977,29417,13
Pennsylvania,1977,28787,16
Rhode Island,1977,27402,18
South Carolina,1977,22523,27
South Dakota,1977,25023,16
Tennessee,1977,23681,23
Texas,1977,27199,22
Utah,1977,24407,10
Vermont,1977,24054,12
Virginia,1977,29260,13
Washington,1977,30790,10
West Virginia,1977,22981,17
Wisconsin,1977,28375,13
Wyoming,1977,31263,14
Alabama,1978,23479,29
Alaska,1978,45985,8
Arizona,1978,27585,14
Arkansas,1978,23407,28
California,1978,34503,13
Colorado,1978,31098,11
Connecticut,1978,34711,12
Delaware,1978,31133,13
District of Columbia,1978,39942,25
Florida,1978,29021,20
Georgia,1978,25430,20
Hawaii,1978,34485,12
Idaho,1978,26427,8
Illinois,1978,32952,18
Indiana,1978,28328,11
Iowa,1978,30104,8
Kansas,1978,29118,14
Kentucky,1978,24097,16
Louisiana,1978,24883,23
Maine,1978,24544,16
Maryland,1978,33653,9
Massachusetts,1978,30540,14
Michigan,1978,31169,10
Minnesota,1978,30111,8
Mississippi,1978,21031,33
Missouri,1978,27935,20
Montana,1978,27828,16
Nebraska,1978,29400,13
Nevada,1978,35407,12
New Hampshire,1978,28364,5
New Jersey,1978,33846,13
New Mexico,1978,25265,21
New York,1978,31991,18
North Carolina,1978,24583,17
North Dakota,1978,29497,17
Ohio,1978,29379,13
Oklahoma,1978,26724,16
Oregon,1978,30494,10
Pennsylvania,1978,29543,13
Rhode Island,1978,27892,18
South Carolina,1978,23246,20
South Dakota,1978,26770,20
Tennessee,1978,24754,24
Texas,1978,28528,18
Utah,1978,25144,6
Vermont,1978,25323,12
Virginia,1978,30404,13
Washington,1978,32341,13
West Virginia,1978,23593,21
Wisconsin,1978,29350,8
Wyoming,1978,33160,8
Alabama,1979,23213,24
Alaska,1979,43500,6
Arizona,1979,27832,10
Arkansas,1979,22751,26
California,1979,34504,13
Colorado,1979,31131,16
Connecticut,1979,34985,10
Delaware,1979,30662,8
District of Columbia,1979,38689,20
Florida,1979,28859,21
Georgia,1979,25065,21
Hawaii,1979,33949,9
Idaho,1979,25428,10
Illinois,1979,32495,16
Indiana,1979,27893,14
Iowa,1979,28977,6
Kansas,1979,29667,13
Kentucky,1979,24086,21
Louisiana,1979,24975,24
Maine,1979,24295,19
Maryland,1979,33133,8
Massachusetts,1979,30486,18
Michigan,1979,30521,9
Minnesota,1979,29837,8
Mississippi,1979,21175,27
