State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,130,128,119,111,86,97,85,87,82,58,70,64,84,78,84,98,92,79,76,61,64,60,52,58,64,56,57,51,56,54,51,45,46,41,32,33,36,41,38,43,42,37,33,34
Alaska,121,122,119,94,65,62,65,71,74,75,64,73,71,96,94,92,101,106,103,92,82,89,93,91,88,89,90,70,62,57,53,50,47,49,47,44,40,36,30,35,34,30,31,31
Arizona,120,125,112,90,75,88,97,89,72,52,54,64,84,82,77,77,79,78,75,71,72,73,70,66,59,53,50,46,39,41,40,48,50,49,45,41,36,32,34,44,40,37,36,23
Arkansas,114,111,107,79,73,85,77,71,57,52,52,55,60,76,74,73,71,65,60,55,56,73,64,63,60,54,50,52,48,47,52,55,56,54,50,50,50,46,46,47,49,36,28,29
California,113,115,111,100,89,93,95,87,68,47,52,59,65,70,69,73,79,77,73,79,77,79,75,75,74,71,67,63,55,54,57,60,64,60,56,52,53,49,56,64,64,53,46,47
Colorado,93,97,91,71,60,68,77,71,59,46,41,46,58,69,62,66,74,72,66,59,56,59,54,49,45,39,35,32,23,17,15,16,19,24,21,20,14,13,13,20,20,11,8,6
Connecticut,87,88,81,63,53,60,64,54,47,30,22,25,34,43,37,41,45,52,53,52,60,73,67,67,64,55,49,41,34,28,25,22,25,30,23,21,15,10,11,18,19,21,15,16
Delaware,96,103,91,76,65,67,67,62,59,47,45,49,56,54,53,54,67,65,62,55,57,51,56,58,61,60,55,53,45,44,47,42,45,39,35,41,35,36,36,39,41,38,36,32
District of Columbia,87,77,78,65,61,65,72,66,60,60,52,58,70,80,81,81,79,70,63,55,49,39,31,37,35,31,26,21,15,9,13,5,12,21,15,13,0,-4,-9,-4,-4,-7,-7,-3
Florida,101,97,87,72,58,57,75,67,49,37,30,35,47,50,46,47,52,49,48,44,47,50,46,44,42,37,34,31,25,26,29,29,27,27,22,19,17,17,18,24,21,16,14,15
Georgia,103,104,105,88,80,87,82,80,73,56,56,57,65,68,65,74,74,74,65,61,57,57,55,52,52,51,51,51,48,47,47,50,54,53,50,49,48,48,51,58,57,45,42,40
Hawaii,80,77,71,58,66,79,93,90,76,65,55,63,81,70,61,62,63,63,59,49,40,45,47,44,50,37,38,44,49,45,38,43,44,42,34,42,33,29,30,28,32,26,22,25
Idaho,85,87,77,59,49,64,67,67,57,50,49,58,72,69,76,78,80,73,62,54,53,58,53,49,54,53,51,52,48,47,48,52,52,52,45,44,33,33,37,45,48,61,42,23
Illinois,112,111,110,87,80,83,82,79,65,52,54,59,67,79,69,71,73,68,63,60,59,68,68,67,60,57,56,52,50,48,45,47,51,57,54,54,46,44,43,51,50,10,28,28
Indiana,135,132,122,92,83,88,88,78,67,58,61,67,83,92,81,85,65,82,83,78,79,85,80,76,72,70,66,64,58,55,54,54,56,55,51,50,44,42,41,48,47,58,31,30
Iowa,122,121,108,68,67,77,79,72,55,47,54,54,64,72,59,59,60,63,63,54,53,59,56,60,51,49,42,39,36,36,32,35,33,32,21,23,24,26,22,27,30,18,16,16
Kansas,95,89,76,53,42,57,57,54,45,30,31,35,44,52,50,55,56,54,62,60,56,59,62,62,60,56,50,46,41,27,25,24,27,25,23,24,20,19,14,20,21,19,9,9
Kentucky,112,108,103,83,70,79,88,81,80,69,69,76,85,97,79,80,90,90,78,73,80,85,78,77,73,70,66,61,56,54,47,48,49,50,44,43,42,49,46,53,52,35,40,40
Louisiana,151,153,138,110,90,94,84,91,72,55,58,65,68,68,65,68,78,71,68,68,66,59,53,47,40,36,38,40,45,45,43,44,43,42,40,35,27,31,29,34,33,29,27,19
Maine,120,125,121,93,78,88,81,77,65,51,43,48,55,60,52,54,57,57,53,53,56,66,62,61,60,57,54,48,42,38,34,32,31,31,24,26,21,21,21,24,27,29,21,20
Maryland,98,95,93,75,66,72,76,75,62,48,44,53,61,63,59,55,60,58,59,59,60,61,57,55,55,51,45,41,34,32,30,31,31,28,25,24,22,24,26,29,30,-9,20,20
Massachusetts,101,106,99,84,85,89,92,86,84,59,53,56,62,62,53,55,60,53,47,50,52,57,56,52,52,49,46,39,34,31,27,27,32,32,29,28,23,22,31,39,38,17,28,28
Michigan,151,153,136,111,110,114,111,98,91,81,86,104,117,121,107,105,105,105,99,97,101,112,116,112,86,89,79,83,77,72,71,74,79,75,78,78,63,62,62,71,67,93,60,59
Minnesota,128,132,123,89,79,86,97,78,70,50,51,62,84,92,76,81,81,76,72,66,61,67,62,61,54,51,45,39,33,29,31,27,26,29,27,28,25,21,20,27,25,36,19,15
Mississippi,111,116,106,90,77,97,84,84,74,57,59,63,65,81,65,85,91,86,89,85,77,72,63,60,59,57,50,48,44,52,48,46,49,49,45,41,43,43,45,50,52,71,25,24
Missouri,99,103,97,77,66,70,71,63,51,39,43,44,51,61,53,57,62,59,57,52,52,52,48,48,45,49,46,37,34,33,31,32,32,25,23,22,22,21,19,25,27,10,19,15
Montana,108,113,96,70,61,69,76,77,62,53,52,58,77,84,82,88,88,81,78,64,66,65,60,55,57,54,52,49,43,42,41,39,41,39,36,34,30,28,27,35,36,26,25,27
Nebraska,99,96,85,59,48,51,61,57,42,34,38,40,44,55,46,47,50,45,42,43,39,40,42,43,42,37,29,29,22,18,18,20,23,18,17,18,16,11,10,16,19,11,7,5
Nevada,76,84,86,71,63,63,63,55,43,32,29,42,61,62,51,64,67,60,53,51,50,55,48,42,39,37,35,28,28,24,30,28,31,26,21,14,12,15,24,38,45,29,43,42
New Hampshire,98,96,98,79,64,62,55,48,37,28,18,22,30,30,24,26,28,28,32,35,45,51,51,48,43,40,38,29,23,19,12,14,15,18,15,15,12,10,13,18,17,14,11,12
New Jersey,95,101,105,81,68,74,77,70,58,43,34,39,47,52,46,51,53,49,45,45,49,60,58,62,62,59,56,51,44,41,33,32,34,35,31,29,24,21,21,29,31,26,25,23
New Mexico,128,121,115,95,85,86,94,91,82,68,70,80,93,92,87,79,94,87,76,67,63,61,57,54,55,49,48,44,47,44,44,44,42,44,42,42,38,40,35,40,42,31,27,27
New York,114,121,117,106,100,112,117,106,91,76,69,75,81,91,76,80,80,78,72,68,69,77,77,77,78,70,67,56,51,48,46,43,46,49,44,39,32,31,42,51,47,41,39,40
