State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,43204,44429,45358,45842,39725,42536,41562,43059,43405,37262,38714,37226,41568,41729,45324,50440,50504,47861,48454,45895,46996,45906,45214,46980,49761,48545,49104,48399,52016,52127,50954,49711,50321,49302,47849,48900,50943,53214,51539,52494,52400,50522,49432,49515
Alaska,79478,81133,82058,77839,69939,78208,82658,83200,80954,77638,72524,76122,80176,89224,85891,85445,86575,82964,81528,79768,75945,76015,78340,77760,76616,76928,76406,70200,68026,66012,66148,66049,65372,66554,65690,64905,64174,64808,64199,65848,66303,65700,67492,66966
Arizona,54356,56937,56315,51807,46140,47701,51109,50250,48371,42952,42865,45809,49827,51076,52213,53913,56538,56208,55648,54349,53814,53063,52594,52046,51410,50361,50312,50748,50861,52429,51088,53425,53806,53827,53762,54142,53940,52264,50966,51811,51608,51246,51428,46075
Arkansas,38214,39286,41037,38853,36936,38866,38529,38380,37280,35091,33161,34588,35458,39951,41752,42639,43329,41743,41776,41318,41291,46075,46019,45987,46230,45459,45220,46591,46977,47434,47616,49401,49673,50574,50742,51016,51948,52265,52191,51533,51768,48744,48073,48091
California,64574,65563,67556,65114,61119,61916,64591,63296,58928,51415,52198,54259,55712,58628,61212,63634,67961,68053,67725,70239,69248,67950,67158,65898,65634,65515,65585,65752,65927,67742,72137,72638,74053,72610,72521,71925,74720,73561,74861,75262,75355,72127,71468,72561
Colorado,50457,53196,54096,50336,46663,48735,52261,51742,50248,46238,44304,46681,50654,54931,54612,56559,59620,58800,57714,56856,55644,56290,56265,55362,55238,54826,54574,54920,55218,54221,53861,54342,54307,55726,55070,55286,53813,53949,53306,54294,54197,51622,51385,50425
Connecticut,59029,59117,59345,54841,50403,51920,54071,52777,51900,46306,43479,44965,48910,53400,54641,58128,62918,68726,72915,74791,76610,79948,81095,81454,79962,77911,76073,74815,74908,73567,72430,71573,71526,73759,72347,72112,71412,70766,69429,71010,71163,73110,71543,71735
Delaware,56954,59835,59283,56158,51272,50789,52066,50719,50676,46075,45030,45996,48660,49405,51195,53790,59793,60694,61672,61697,61638,58803,60754,61324,62435,62839,62511,62588,62680,63132,64669,64639,66802,63505,63398,65767,64200,63935,62299,62988,62875,61885,61524,60273
District of Columbia,62122,63278,67867,63264,61292,63517,67553,67307,65321,63312,57167,57860,62835,67654,70814,72548,73574,71225,72697,70985,69072,66036,64923,69627,69823,67748,67905,68355,68469,66884,66947,62883,66790,73337,73248,74167,69272,69226,68775,71228,72281,72326,73099,74356
Florida,51525,51326,51768,49627,43922,42540,48080,47172,44203,40369,38490,40012,43116,46014,46531,48605,51882,51714,52668,53242,53434,52882,52292,52282,52069,51672,51113,50843,51110,52173,52550,52492,51925,52234,52114,52481,53196,53586,51585,51542,50685,48944,48039,48560
Georgia,43893,45464,48603,46530,43273,43886,44220,44703,44497,39525,38587,39018,41080,43968,46028,50343,52681,53749,52564,51769,50672,49992,50699,50266,51595,52714,54373,55405,57614,58284,58029,58905,59909,59160,58299,58539,58594,58872,58135,58609,58503,55716,54515,53788
Hawaii,60236,59269,58937,55219,58426,61608,66388,65413,61535,56837,52832,53751,58500,57483,54999,56458,58374,59075,60097,59238,56908,58768,61179,59843,61544,55513,54071,56597,58633,57652,55054,56956,58503,58505,57827,62537,60962,60973,61273,60762,59759,56907,55979,57209
Idaho,41398,42302,42849,41039,39461,41365,43434,43282,42261,38837,37746,39106,41488,42444,44738,45807,46761,45648,44391,44106,44567,44822,45310,45427,47588,47891,48001,48422,49464,50504,51477,52915,52824,52846,52781,52588,50249,50353,49669,51073,51460,51098,51272,45190
Illinois,60029,61004,63467,59543,56208,57081,58023,58784,55367,50219,48532,50121,52648,57091,56897,58755,61473,60877,60814,60620,60517,62058,64805,64463,63003,63438,64386,64433,66173,66046,65769,66072,67483,69762,69445,70076,68387,69051,67441,68502,68378,60660,60941,61105
Indiana,55179,56113,56225,52127,47758,48453,50576,49488,47885,44507,42997,44437,47541,50829,51035,53137,49156,55472,56940,57121,57284,57880,58824,58448,58776,58408,58194,58622,59775,59459,59534,59068,59336,58906,58371,57272,56159,55388,54496,55159,54706,53166,51613,51110
Iowa,53209,52752,53705,48955,45492,49144,49615,49238,47554,43379,42373,43564,45434,47552,46750,47322,49156,50984,50333,49442,48926,49704,50544,50344,50347,50187,50199,50266,50719,50690,50143,51096,51210,50726,49225,49542,50639,53282,53472,54762,54952,52876,52521,52881
Kansas,47011,47381,47595,44195,39845,44005,44653,44414,42726,39062,38099,39848,43013,45810,47167,49465,51068,50584,53423,53133,52056,52305,55128,55506,55367,54469,54064,54288,54318,49700,49348,49576,50160,49685,49301,50138,50879,51537,51013,51486,51095,49169,48932,49008
Kentucky,42155,42273,43631,41241,38174,39632,43247,43270,44149,41429,39349,41229,43376,46397,45178,45761,48927,49776,48679,48600,50915,52543,52195,51759,51541,51285,51217,51046,51589,51688,50294,50723,51289,51765,50776,50786,51245,53902,52634,54671,54305,52339,51755,51385
Louisiana,48646,50338,49452,45538,41843,43169,43064,46055,43590,39261,39998,42754,43460,43424,43526,44350,46141,43527,43875,44918,45888,44191,43787,42709,42279,41548,42764,44376,47209,47040,46206,48554,48522,48778,48896,48786,50271,53625,53460,53964,53867,52812,52970,49868
