State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Alabama,805205,806315,783383,770739,764341,759346,752507,761880,761666,754181,758721,743448,724037,721901,712586,730460,733735,729234,724751,723743,721806,722004,723410,726024,727480,736825,738299,739321,737639,730184,729156,725349,729651,729368,728146,737270,739760,739327,739198,741115,747373,736339,735605
Alaska,79845,84381,85332,82505,86576,89295,91190,90344,90728,88573,86514,90858,89413,98206,104599,107345,107848,106869,106481,109280,113903,118680,120116,123161,124464,125199,127733,129940,133356,133047,132146,133096,132973,132050,131210,131374,130776,129350,128757,129186,129114,128412,128358
Arizona,439524,464478,485088,521240,487040,492995,502817,513817,509830,509252,513790,507199,510296,506682,530062,548252,534538,572421,574890,607615,639853,656980,665834,701791,729216,735238,786827,804071,833849,847487,872906,907245,925158,997079,1028848,1084281,1053131,1071408,1070816,1068485,1063047,1071238,1079881
Arkansas,463320,461260,461431,450114,454406,456703,460593,458778,456698,453125,447700,437121,432565,432120,432668,433410,437438,437036,436387,434960,436286,438518,437962,440418,443021,448494,452322,452121,449144,448193,446543,446636,447570,450937,454464,463088,464954,465631,465146,466584,467537,468190,471532
California,4633198,4601550,4500978,4459328,4427443,4419571,4380400,4303665,4187967,4119511,4076421,4046156,4065486,4089017,4151110,4255554,4377989,4488398,4618120,4771978,4950474,5107145,5089808,5166261,5242078,5367926,5512155,5633646,5752817,5870546,5972363,6074303,6181021,6241328,6268095,6259972,6279527,6268293,6245031,6185288,6211534,6207847,6218252
Colorado,550060,564502,574248,573154,568060,568851,564087,561807,558285,550527,546033,544174,545209,542196,545427,550642,558415,560236,560081,562755,574213,593030,602791,615729,629325,644477,659917,673291,684820,693991,709131,722629,731494,737700,744720,756615,769472,776218,790163,802667,812723,823174,833186
Connecticut,662205,666867,664761,667088,660067,652449,635000,616389,593757,566634,531459,505386,486470,477585,468145,462026,468847,465465,460637,461560,469123,481050,472520,480015,494591,505870,516262,523787,534642,543475,551695,559178,558873,565380,564942,562285,561523,556446,552246,548279,544625,538415,534561
Delaware,132745,135013,134317,132940,130616,127476,122273,118000,111034,104035,99403,95072,92646,91406,91767,92901,94410,95659,96678,97808,99658,102196,103858,104982,106195,107791,109952,111388,112660,112120,113970,114931,115677,117026,118421,120257,121592,121991,124692,126046,127777,127544,127735
District of Columbia,145704,142512,139918,136036,131691,129969,125848,119875,113858,106156,100049,94975,91105,88843,87397,87092,85612,86435,84792,81301,80694,80618,71849,71757,71135,70955,70023,68348,63375,68397,60468,60025,65860,68193,66517,65456,61973,65843,61203,60485,61438,61878,63934
Florida,1427896,1478504,1514359,1537952,1557054,1551373,1537336,1535570,1513819,1508337,1510225,1487721,1484734,1495543,1524107,1562283,1607320,1664774,1720930,1789925,1861592,1932131,1949943,2005970,2063195,2125099,2188233,2240033,2283664,2327613,2379701,2443440,2488707,2538040,2591341,2627784,2625396,2619894,2582787,2583027,2590568,2613218,2637038
Georgia,1098901,1093407,1090280,1085881,1081485,1090292,1095142,1089625,1093256,1078462,1068737,1056117,1053689,1050859,1062315,1079594,1096425,1110947,1107994,1126535,1151687,1177569,1203883,1229770,1258089,1288505,1321239,1346623,1370512,1391403,1412689,1437324,1461267,1486125,1515646,1559828,1589839,1609681,1615066,1625745,1634251,1639663,1658080
Hawaii,180641,183654,181979,178511,177030,176430,174943,172356,170761,168660,165068,162805,162024,162241,163860,164169,164640,166160,167488,169493,171708,174747,165564,179779,183081,186486,186865,189174,187295,184937,183441,183515,182701,182358,181679,181225,179069,178170,177689,178461,177993,180990,183028
Idaho,182333,185114,184663,189133,187552,196616,200005,201433,203022,202758,203247,204524,202973,206352,208080,208669,208391,212444,214615,214932,220840,225680,229132,234115,238947,241432,243563,242294,242599,242962,242928,244180,246087,249448,253499,259198,264593,269239,272254,273653,274038,278535,282151
Illinois,2356636,2379646,2354562,2320672,2296241,2269892,2238129,2173352,2039430,2043239,1983463,1924084,1880289,1853316,1834355,1826478,1825185,1811446,1794916,1797355,1821407,1848166,1745966,1762418,1783309,1806016,1918089,1937678,1948348,1965262,1983894,2009225,2020632,2029852,2028281,2039114,2043001,2034962,2026925,2019448,2013394,2002374,1991405
