State,Year,Average Teacher Salary,Students per Teacher
Alabama,1970,43204,24
Alaska,1970,79478,21
Arizona,1970,54356,23
Arkansas,1970,38214,22
California,1970,64574,24
Colorado,1970,50457,22
Connecticut,1970,59029,21
Delaware,1970,56954,22
District of Columbia,1970,62122,19
Florida,1970,51525,23
Georgia,1970,43893,25
Hawaii,1970,60236,23
Idaho,1970,41398,23
Illinois,1970,60029,21
Indiana,1970,55179,24
Iowa,1970,53209,20
Kansas,1970,47011,20
Kentucky,1970,42155,24
Louisiana,1970,48646,23
Maine,1970,47596,22
Maryland,1970,59102,22
Massachusetts,1970,56289,21
Michigan,1970,64202,23
Minnesota,1970,57266,21
Mississippi,1970,35163,24
Missouri,1970,47926,22
Montana,1970,47615,21
Nebraska,1970,47584,19
Nevada,1970,55740,26
New Hampshire,1970,48676,21
New Jersey,1970,58711,21
New Mexico,1970,47523,24
New York,1970,64623,20
North Carolina,1970,45516,24
North Dakota,1970,42478,19
Ohio,1970,50817,23
Oklahoma,1970,44845,22
Oregon,1970,52995,22
Pennsylvania,1970,53800,22
Rhode Island,1970,54472,21
South Carolina,1970,40703,22
South Dakota,1970,43295,19
Tennessee,1970,44217,25
Texas,1970,47718,22
Utah,1970,47139,26
Vermont,1970,48353,18
Virginia,1970,50256,23
Washington,1970,57979,24
West Virginia,1970,44662,24
Wisconsin,1970,56424,22
Wyoming,1970,50921,19
Alabama,1971,44429,24
Alaska,1971,81133,21
Arizona,1971,56937,24
Arkansas,1971,39286,23
California,1971,65563,23
Colorado,1971,53196,23
Connecticut,1971,59117,20
Delaware,1971,59835,22
District of Columbia,1971,63278,22
Florida,1971,51326,23
Georgia,1971,45464,24
Hawaii,1971,59269,22
Idaho,1971,42302,23
Illinois,1971,61004,22
Indiana,1971,56113,24
Iowa,1971,52752,20
Kansas,1971,47381,20
Kentucky,1971,42273,23
Louisiana,1971,50338,23
Maine,1971,49076,22
Maryland,1971,60081,22
Massachusetts,1971,58444,22
