State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alabama,0.605,0.613,0.624,0.63,0.636,0.642,0.647,0.653,0.653,0.656,0.671,0.682,0.691,0.701,0.712,0.722,0.736,0.751,0.764,0.774,0.783,0.812,0.826,0.847,0.864,0.874,0.879,0.882,0.886
Alaska,0.696,0.712,0.722,0.737,0.748,0.758,0.765,0.776,0.78,0.784,0.786,0.783,0.777,0.771,0.764,0.764,0.76,0.759,0.761,0.762,0.763,0.762,0.761,0.761,0.763,0.764,0.767,0.771,0.775
Arizona,0.604,0.613,0.623,0.632,0.646,0.656,0.664,0.67,0.675,0.676,0.678,0.681,0.682,0.682,0.681,0.681,0.68,0.677,0.674,0.669,0.666,0.662,0.657,0.65,0.647,0.644,0.644,0.641,0.637
Arkansas,0.633,0.642,0.653,0.666,0.678,0.691,0.709,0.72,0.731,0.739,0.745,0.75,0.754,0.758,0.762,0.765,0.77,0.782,0.795,0.804,0.813,0.821,0.83,0.841,0.856,0.868,0.887,0.906,0.918
California,0.592,0.593,0.592,0.592,0.59,0.588,0.586,0.583,0.579,0.573,0.568,0.562,0.56,0.559,0.56,0.563,0.568,0.572,0.577,0.582,0.585,0.589,0.593,0.599,0.605,0.612,0.618,0.625,0.62
Colorado,0.648,0.656,0.665,0.675,0.684,0.693,0.699,0.704,0.709,0.712,0.712,0.712,0.712,0.712,0.714,0.716,0.718,0.72,0.723,0.726,0.729,0.732,0.735,0.74,0.745,0.75,0.756,0.76,0.763
Connecticut,0.748,0.768,0.787,0.807,0.828,0.849,0.871,0.89,0.904,0.916,0.923,0.928,0.931,0.933,0.934,0.935,0.935,0.934,0.932,0.928,0.927,0.927,0.922,0.921,0.92,0.919,0.935,0.943,0.949
Delaware,0.669,0.682,0.697,0.713,0.728,0.741,0.753,0.763,0.771,0.777,0.779,0.783,0.787,0.788,0.789,0.789,0.79,0.793,0.796,0.8,0.805,0.811,0.817,0.824,0.829,0.835,0.842,0.85,0.858
District of Columbia,0.668,0.679,0.701,0.725,0.746,0.765,0.784,0.811,0.834,0.86,0.88,0.902,0.924,0.932,0.936,0.926,0.927,0.92,0.92,0.922,0.914,0.913,0.904,0.9,0.899,0.904,0.915,0.932,0.959
Florida,0.611,0.624,0.638,0.651,0.664,0.676,0.688,0.698,0.71,0.72,0.726,0.732,0.734,0.731,0.728,0.725,0.723,0.72,0.717,0.712,0.708,0.706,0.708,0.713,0.72,0.739,0.757,0.773,0.785
Georgia,0.598,0.611,0.624,0.636,0.647,0.66,0.671,0.683,0.689,0.695,0.702,0.709,0.717,0.724,0.731,0.74,0.75,0.761,0.768,0.777,0.786,0.795,0.809,0.821,0.831,0.841,0.852,0.861,0.866
Hawaii,0.579,0.578,0.576,0.575,0.575,0.577,0.585,0.592,0.599,0.607,0.621,0.633,0.645,0.658,0.671,0.684,0.696,0.71,0.723,0.731,0.738,0.746,0.752,0.757,0.763,0.771,0.777,0.785,0.792
Idaho,0.599,0.603,0.608,0.616,0.621,0.624,0.627,0.63,0.634,0.637,0.64,0.642,0.646,0.651,0.656,0.661,0.667,0.674,0.681,0.689,0.695,0.7,0.704,0.709,0.713,0.716,0.718,0.72,0.723
Illinois,0.658,0.665,0.675,0.684,0.694,0.703,0.711,0.721,0.732,0.736,0.743,0.747,0.751,0.754,0.757,0.761,0.766,0.77,0.774,0.778,0.782,0.783,0.786,0.789,0.798,0.804,0.81,0.817,0.821
Indiana,0.596,0.607,0.617,0.628,0.639,0.654,0.665,0.676,0.688,0.696,0.704,0.711,0.718,0.724,0.731,0.736,0.741,0.746,0.75,0.754,0.756,0.758,0.761,0.762,0.764,0.766,0.769,0.771,0.768
Iowa,0.725,0.739,0.754,0.769,0.782,0.793,0.802,0.811,0.818,0.823,0.826,0.828,0.831,0.832,0.833,0.833,0.834,0.836,0.842,0.851,0.859,0.868,0.876,0.886,0.896,0.908,0.917,0.925,0.929
Kansas,0.742,0.756,0.772,0.785,0.797,0.808,0.819,0.829,0.839,0.843,0.846,0.849,0.852,0.854,0.856,0.858,0.86,0.865,0.87,0.874,0.877,0.88,0.884,0.891,0.9,0.909,0.919,0.926,0.931
