State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alabama,0.61,0.61,0.62,0.63,0.64,0.64,0.65,0.65,0.65,0.66,0.67,0.68,0.69,0.70,0.71,0.72,0.74,0.75,0.76,0.77,0.78,0.81,0.83,0.85,0.86,0.87,0.88,0.88,0.89
Alaska,0.70,0.71,0.72,0.74,0.75,0.76,0.77,0.78,0.78,0.78,0.79,0.78,0.78,0.77,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.77,0.77,0.78
Arizona,0.60,0.61,0.62,0.63,0.65,0.66,0.66,0.67,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.67,0.67,0.66,0.66,0.65,0.65,0.64,0.64,0.64,0.64
Arkansas,0.63,0.64,0.65,0.67,0.68,0.69,0.71,0.72,0.73,0.74,0.75,0.75,0.75,0.76,0.76,0.77,0.77,0.78,0.80,0.80,0.81,0.82,0.83,0.84,0.86,0.87,0.89,0.91,0.92
California,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.57,0.57,0.56,0.56,0.56,0.56,0.56,0.57,0.57,0.58,0.58,0.59,0.59,0.59,0.60,0.61,0.61,0.62,0.63,0.62
Colorado,0.65,0.66,0.67,0.68,0.68,0.69,0.70,0.70,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.72,0.72,0.72,0.72,0.73,0.73,0.73,0.74,0.74,0.75,0.75,0.76,0.76,0.76
Connecticut,0.75,0.77,0.79,0.81,0.83,0.85,0.87,0.89,0.90,0.92,0.92,0.93,0.93,0.93,0.93,0.94,0.94,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.92,0.94,0.94,0.95
Delaware,0.67,0.68,0.70,0.71,0.73,0.74,0.75,0.76,0.77,0.78,0.78,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.80,0.80,0.81,0.81,0.82,0.82,0.83,0.84,0.84,0.85,0.86
District of Columbia,0.67,0.68,0.70,0.73,0.75,0.77,0.78,0.81,0.83,0.86,0.88,0.90,0.92,0.93,0.94,0.93,0.93,0.92,0.92,0.92,0.91,0.91,0.90,0.90,0.90,0.90,0.92,0.93,0.96
Florida,0.61,0.62,0.64,0.65,0.66,0.68,0.69,0.70,0.71,0.72,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.72,0.74,0.76,0.77,0.79
Georgia,0.60,0.61,0.62,0.64,0.65,0.66,0.67,0.68,0.69,0.70,0.70,0.71,0.72,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.80,0.81,0.82,0.83,0.84,0.85,0.86,0.87
Hawaii,0.58,0.58,0.58,0.58,0.58,0.58,0.59,0.59,0.60,0.61,0.62,0.63,0.65,0.66,0.67,0.68,0.70,0.71,0.72,0.73,0.74,0.75,0.75,0.76,0.76,0.77,0.78,0.79,0.79
Idaho,0.60,0.60,0.61,0.62,0.62,0.62,0.63,0.63,0.63,0.64,0.64,0.64,0.65,0.65,0.66,0.66,0.67,0.67,0.68,0.69,0.70,0.70,0.70,0.71,0.71,0.72,0.72,0.72,0.72
Illinois,0.66,0.67,0.68,0.68,0.69,0.70,0.71,0.72,0.73,0.74,0.74,0.75,0.75,0.75,0.76,0.76,0.77,0.77,0.77,0.78,0.78,0.78,0.79,0.79,0.80,0.80,0.81,0.82,0.82
Indiana,0.60,0.61,0.62,0.63,0.64,0.65,0.67,0.68,0.69,0.70,0.70,0.71,0.72,0.72,0.73,0.74,0.74,0.75,0.75,0.75,0.76,0.76,0.76,0.76,0.76,0.77,0.77,0.77,0.77
Iowa,0.73,0.74,0.75,0.77,0.78,0.79,0.80,0.81,0.82,0.82,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.84,0.85,0.86,0.87,0.88,0.89,0.90,0.91,0.92,0.93,0.93
Kansas,0.74,0.76,0.77,0.79,0.80,0.81,0.82,0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.86,0.87,0.87,0.87,0.88,0.88,0.88,0.89,0.90,0.91,0.92,0.93,0.93
Kentucky,0.60,0.61,0.62,0.63,0.64,0.64,0.65,0.66,0.68,0.69,0.70,0.70,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.77,0.78,0.78,0.79,0.79,0.80,0.80,0.81,0.81,0.81
Louisiana,0.65,0.66,0.67,0.67,0.68,0.68,0.69,0.70,0.71,0.71,0.72,0.72,0.73,0.73,0.74,0.75,0.76,0.77,0.78,0.80,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.89,0.89
Maine,0.67,0.69,0.70,0.72,0.74,0.76,0.78,0.80,0.82,0.83,0.85,0.87,0.89,0.90,0.91,0.92,0.92,0.94,0.95,0.96,0.97,0.99,1.00,1.02,1.03,1.04,1.05,1.07,1.08
Maryland,0.65,0.66,0.67,0.68,0.69,0.70,0.71,0.72,0.73,0.74,0.75,0.75,0.75,0.76,0.76,0.76,0.77,0.77,0.77,0.77,0.78,0.78,0.79,0.79,0.80,0.82,0.83,0.84,0.85
Massachusetts,0.74,0.76,0.78,0.80,0.81,0.83,0.85,0.86,0.87,0.87,0.87,0.88,0.88,0.89,0.89,0.89,0.90,0.91,0.91,0.91,0.91,0.92,0.93,0.94,0.94,0.95,0.96,0.96,0.96
Michigan,0.58,0.58,0.59,0.60,0.61,0.62,0.62,0.63,0.64,0.64,0.65,0.65,0.66,0.66,0.66,0.67,0.67,0.67,0.68,0.68,0.68,0.69,0.69,0.70,0.71,0.71,0.72,0.72,0.73
Minnesota,0.68,0.69,0.70,0.71,0.72,0.73,0.74,0.74,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.76,0.77,0.77,0.77,0.78,0.78,0.79,0.79,0.79,0.80,0.81,0.81,0.82
Mississippi,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.69,0.70,0.70,0.71,0.71,0.71,0.72,0.72,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.79,0.80,0.81,0.82,0.83,0.84
Missouri,0.67,0.68,0.70,0.71,0.73,0.74,0.75,0.77,0.78,0.79,0.79,0.80,0.80,0.81,0.82,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.90,0.91,0.92,0.93,0.94,0.94
Montana,0.72,0.73,0.75,0.76,0.77,0.78,0.79,0.80,0.81,0.81,0.81,0.82,0.82,0.81,0.82,0.82,0.82,0.82,0.82,0.83,0.83,0.84,0.85,0.85,0.87,0.88,0.89,0.90,0.91
Nebraska,0.75,0.76,0.78,0.79,0.80,0.82,0.83,0.84,0.85,0.86,0.86,0.87,0.87,0.88,0.88,0.88,0.89,0.89,0.90,0.91,0.91,0.92,0.92,0.93,0.94,0.94,0.95,0.95,0.96
Nevada,0.56,0.57,0.58,0.59,0.60,0.61,0.62,0.62,0.63,0.64,0.65,0.65,0.66,0.66,0.67,0.67,0.67,0.68,0.68,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
New Hampshire,0.69,0.70,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.80,0.81,0.82,0.82,0.82,0.82,0.83,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.90,0.91,0.93,0.94,0.96
New Jersey,0.74,0.75,0.76,0.78,0.79,0.81,0.83,0.85,0.86,0.88,0.89,0.90,0.91,0.92,0.93,0.94,0.94,0.95,0.95,0.96,0.96,0.96,0.98,0.98,0.99,1.00,1.01,1.02,1.03
New Mexico,0.62,0.63,0.64,0.65,0.66,0.67,0.67,0.68,0.69,0.70,0.70,0.71,0.71,0.72,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.80,0.81,0.82,0.83,0.84,0.85,0.85,0.86
New York,0.70,0.70,0.71,0.73,0.74,0.75,0.76,0.78,0.79,0.81,0.82,0.83,0.84,0.85,0.85,0.86,0.86,0.87,0.87,0.88,0.88,0.89,0.90,0.91,0.93,0.94,0.95,0.96,0.98
North Carolina,0.60,0.60,0.61,0.62,0.63,0.65,0.66,0.67,0.69,0.70,0.71,0.72,0.73,0.74,0.75,0.77,0.78,0.79,0.80,0.80,0.81,0.82,0.83,0.83,0.85,0.86,0.87,0.88,0.88
North Dakota,0.75,0.76,0.77,0.79,0.80,0.80,0.81,0.82,0.83,0.83,0.83,0.83,0.84,0.84,0.85,0.85,0.85,0.86,0.87,0.88,0.89,0.91,0.92,0.94,0.96,0.97,1.00,1.02,1.04
Ohio,0.61,0.62,0.63,0.64,0.66,0.67,0.68,0.69,0.70,0.71,0.72,0.72,0.73,0.74,0.75,0.75,0.76,0.77,0.78,0.79,0.80,0.80,0.81,0.82,0.82,0.82,0.82,0.82,0.83
Oklahoma,0.67,0.68,0.70,0.71,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.84,0.84,0.84,0.85,0.86,0.86,0.86
Oregon,0.64,0.65,0.66,0.67,0.67,0.68,0.69,0.69,0.70,0.70,0.70,0.70,0.70,0.70,0.69,0.69,0.68,0.68,0.67,0.67,0.67,0.66,0.66,0.65,0.66,0.66,0.66,0.66,0.66
Pennsylvania,0.68,0.69,0.71,0.72,0.73,0.74,0.76,0.77,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.79,0.79,0.79,0.80,0.80,0.81,0.82,0.84,0.85,0.86,0.88
Rhode Island,0.71,0.73,0.75,0.76,0.78,0.79,0.81,0.83,0.84,0.85,0.86,0.87,0.87,0.88,0.88,0.89,0.89,0.90,0.90,0.90,0.90,0.91,0.92,0.94,0.95,0.95,0.96,0.97,0.98
South Carolina,0.61,0.62,0.64,0.65,0.67,0.68,0.70,0.70,0.72,0.73,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.80,0.81,0.82,0.82,0.83,0.84,0.85,0.86,0.86,0.87,0.87,0.87
South Dakota,0.73,0.75,0.77,0.78,0.80,0.81,0.82,0.83,0.84,0.85,0.85,0.86,0.86,0.86,0.86,0.86,0.86,0.87,0.88,0.89,0.89,0.90,0.91,0.92,0.93,0.93,0.94,0.95,0.96
Tennessee,0.58,0.59,0.60,0.61,0.62,0.63,0.63,0.64,0.64,0.65,0.65,0.66,0.66,0.67,0.69,0.70,0.71,0.73,0.74,0.75,0.76,0.78,0.79,0.80,0.81,0.82,0.83,0.84,0.84
Texas,0.66,0.67,0.68,0.69,0.70,0.71,0.72,0.73,0.75,0.76,0.76,0.77,0.78,0.79,0.80,0.80,0.81,0.82,0.83,0.84,0.85,0.85,0.85,0.86,0.86,0.87,0.87,0.88,0.88
Utah,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.54,0.54,0.55,0.55,0.56,0.56,0.57,0.57,0.58,0.58,0.58,0.58,0.58
Vermont,0.80,0.82,0.83,0.84,0.85,0.87,0.88,0.89,0.91,0.91,0.92,0.93,0.93,0.94,0.94,0.95,0.95,0.97,0.98,0.99,1.00,1.01,1.03,1.05,1.07,1.09,1.11,1.13,1.14
Virginia,0.67,0.69,0.70,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.80,0.81,0.82,0.83,0.84,0.85,0.87,0.88,0.90,0.92,0.93,0.95,0.97,0.96,0.95,0.94,0.93,0.92
Washington,0.57,0.58,0.58,0.59,0.60,0.60,0.61,0.62,0.62,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.66,0.66,0.66,0.66,0.67,0.67,0.67
West Virginia,0.65,0.67,0.69,0.71,0.73,0.75,0.76,0.78,0.80,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.89,0.90,0.90,0.91,0.91,0.92,0.92,0.92,0.93,0.93
Wisconsin,0.68,0.70,0.72,0.73,0.74,0.75,0.76,0.77,0.77,0.78,0.79,0.80,0.80,0.81,0.81,0.81,0.82,0.83,0.84,0.85,0.85,0.86,0.86,0.87,0.87,0.88,0.88,0.89,0.89
Wyoming,0.76,0.78,0.80,0.82,0.83,0.84,0.85,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.90,0.91,0.92,0.94,0.96,0.97,0.98,1.00,1.01
