SELPA,County,2005,2006,2007,2008,2009,2010,2011
Amador County,Amador,0.2869440459,2.092675635,2.177293935,0,0.5395683453,0.9124087591,2.116402116
Anaheim City,Orange,0,0,0,0,0,0,0.04568296026
Antelope Valley,Los Angeles,0.5156572286,0.8349568606,1.800472255,1.827782291,0.9067096514,1.939000105,2.064773085
Bakersfield City,Kern,0.3623188406,0.453593859,0.116913484,0.2948765205,0.862392201,2.566127122,2.01863354
Butte County,Butte,0.07170172084,2.249690977,4.858299595,1.4343231,0.8219881839,2.17611336,2.053915276
Calaveras County,Calaveras,0.6693440428,0.5747126437,0.8253094911,0.6906077348,0.5464480874,0.9575923393,0.8928571429
Capistrano USD,Orange,0.372054568,0.306010929,0.1279590531,0.3715937242,0.252312868,0.2715121136,1.287375415
Clovis Unified,Fresno,0.1043841336,0.4978662873,1.080302485,1.731448763,3.567717354,4.370447451,1.416526138
Colusa County,Colusa,0,0,0.5190311419,1.485148515,7.553366174,2.605863192,0
Compton USD,Los Angeles,0,0,0,0,0,0,2.906071614
Contra Costa County,Contra Costa,3.684497817,3.95260492,7.454463683,12.00639123,15.32266961,12.35138705,10.36478812
Corona-Norco Unified,Riverside,0.1408167371,0.01873711823,0.7800035455,0.9055185375,0.8306492626,2.75,0.5321802761
Desert Mountain,San Bernardino,0,0.02815843815,0.1317895133,0.086847438,0.1036953243,0.5916048455,0.6666074127
Downey-Montebello,Los Angeles,0.7638771007,0.1402032948,0.3335088643,0.3944065973,0.3677758319,0.3860326373,0.1371742112
E San Gabriel Valley,Los Angeles,0.2004267149,0.3285798778,0.3487759937,0.3246331645,1.668721743,0.2916160389,0.7492748953
East County,San Diego,2.157411107,6.097189814,7.364822871,6.375092661,4.377318495,6.572514938,3.961467691
East Valley Consortium,San Bernardino,0.324505391,0.3153202131,0.1772460397,0.3739800544,0.4494887066,0.2270515731,0.2467811159
El Dorado Charter,El Dorado,0,0,0,0.325203252,0.1715265866,0.2318648559,0.2326122354
El Dorado County,El Dorado,0.5066956207,0.1350438893,0.2793296089,0.3135888502,0.2134471718,0.3903477644,0.1799208348
Elk Grove Unified,Sacramento,0,5.765860498,0.5990073592,3.648175912,9.361358124,7.275856673,6.659302509
Folsom-Cordova USD,Sacramento,0,0,0,2.577710387,1.092657343,4.543559817,1.669595782
Fontana Unified,San Bernardino,0,0.04205214466,0.2755988976,0.350262697,0.5680576797,0.1710498183,0.08406893653
Foothill,Los Angeles,1.170568562,1.358583779,2.399314482,3.751897636,1.236442516,0.9010941858,0.5208333333
Fresno County,Fresno,0.4568527919,0.5622284692,1.166861144,0.9765109528,0.5772005772,1.039861352,1.434262948
Fresno Unified SD,Fresno,1.071878941,1.12488815,2.070023,4.957507082,2.737603306,1.082937137,2.217052142
Garden Grove Unified,Orange,1.494591937,2.70156184,2.346459906,3.506625892,3.390498719,2.714029136,2.75944811
Glenn County,Glenn,0,0.3125,2.427184466,8.067226891,3.75,2.291325696,0.6319115324
Greater Anaheim,Orange,0.0742721331,0.2574587309,0.9170034193,0.5859065717,0.4602235371,0.4480584135,2.145995269
Humboldt-Del Norte,Humboldt,0.1501952538,0.3716320842,0.06134969325,0.215450908,1.582089552,1.536189069,0.5221932115
Imperial County,Imperial,0.39408867,0.09832841691,0.2287581699,0.9643201543,0.2867155145,0.2195045469,0.3341433779
Inyo County,Inyo,0,0,0,0,0,0,0
Irvine Unified,Orange,0.7278608977,1.215686275,0.8669430833,2.111324376,3.578299346,2.24144711,4.383886256
Kern County,Kern,4.511650967,4.043858767,3.117268679,3.399433428,3.862826317,3.640320506,4.072312084
Kern Union High,Kern,0.5174197999,0.9380234506,0.8369601607,1.461513478,1.659751037,0.3821656051,0.4722921914
Kings County,Kings,1.110699741,3.73323668,1.787016776,1.862068966,0.8816547982,0.499001996,1.501194132
LA County Court Schs,Los Angeles,0,0.09337068161,0.2742230347,0.8964955175,0.7042253521,0.9900990099,1.923076923
Lake County,Lake,0.3943217666,1.39002453,0,0.1745200698,0.7292616226,0.8450704225,1.087941976
Lassen County,Lassen,0.5249343832,0.1400560224,0.2789400279,0,0.9433962264,0.8912655971,0
