State,Year,Population,Expenditures for K12 (Inflation Adjusted: 2012 dollars),Students,Students per Capita,Students per Capita Index (US average = 1.0),Expenditures per Student (Inflation adjusted to 2012 dollars),"Expenditures per student, 13 year cumulative (infl adj)",Teachers,Expenditures per Teacher (adjusted for Inflation: 2012 dollars),Teacher Salary (inflation adjusted: 2012 dollars),Teacher Salaries as Percent of Current Expense of Education,Teacher Salary Index,Students Per Teacher,Income per Capita (2013 inflation),Effort: Education Spending vs State Income,Effort Per Student (Index: 1970 effort = 100),Teachers per student,"Teachers per Student, 13-year cumulative",High School Graduation Rate (from 1992 onward),NAEP Math Grade 4,NAEP Math Grade 8,NAEP Reading Grade 4,NAEP Reading Grade 8,"NAEP average of percent proficient, grades 4 and 8 Math and Reading","POVERTY: Children between 6-17 years-old, Number","POVERTY: Children between 6-17 years-old, Percent",Teacher count (BLS data),BLS teacher count vs. NCES
Alabama,1970,3449983,2717314866,805205,0.233,0.8,3375,60000,33026,82278,42177,0.51,0.8,24.4,18460,4.47,1.2,0.041,0.6,50,20,20,20,20,20,0,0,-,-
Alaska,1970,304325,687608111,79845,0.262,0.9,8612,60000,3821,179955,77585,0.43,1.46,20.9,35266,7.23,1.72,0.048,0.6,50,20,20,20,20,20,0,0,-,-
Arizona,1970,1795042,1880716362,439524,0.324,1.12,4279,60000,18772,100187,53063,0.53,1,23.4,24020,4.59,0.89,0.043,0.6,50,20,20,20,20,20,0,0,-,-
Arkansas,1970,1930345,1484037928,463320,0.316,1.09,3203,60000,21122,70260,37306,0.53,0.7,21.9,17532,4.55,0.9,0.046,0.6,50,20,20,20,20,20,0,0,-,-
California,1970,20023477,24876446691,4633198,0.301,1.04,5369,60000,193000,128894,63034,0.49,1.19,24,29823,4.35,0.9,0.042,0.6,50,20,20,20,20,20,0,0,-,-
Colorado,1970,2223990,2568080305,550060,0.329,1.13,4669,60000,24450,105034,49255,0.47,0.93,22.5,25510,4.8,0.91,0.044,0.6,50,20,20,20,20,20,0,0,-,-
Connecticut,1970,3038936,3934518374,662205,0.279,0.96,5942,60000,31323,125611,57626,0.46,1.09,21.1,30982,4.29,0.96,0.047,0.6,50,20,20,20,20,20,0,0,-,-
Delaware,1970,550365,762901321,132745,0.318,1.09,5747,60000,6034,126434,55602,0.44,1.05,22,28437,5.07,1,0.045,0.6,50,20,20,20,20,20,0,0,-,-
District of Columbia,1970,755105,928929907,145704,0.239,0.82,6375,60000,7486,124089,60644,0.49,1.14,19.5,32841,4.16,1.09,0.051,0.6,50,20,20,20,20,20,0,0,-,-
Florida,1970,6845547,6584150939,1427896,0.264,0.91,4611,60000,62419,105483,50296,0.48,0.95,22.9,24978,4.04,0.96,0.044,0.6,50,20,20,20,20,20,0,0,-,-
Georgia,1970,4604908,4282267834,1098901,0.313,1.08,3897,60000,44007,97309,42846,0.44,0.81,25,21220,4.62,0.92,0.04,0.6,50,20,20,20,20,20,0,0,-,-
Hawaii,1970,762877,1019224588,180641,0.31,1.07,5642,60000,7985,127642,58803,0.46,1.11,22.6,33293,4.42,0.89,0.044,0.6,50,20,20,20,20,20,0,0,-,-
Idaho,1970,717163,671415575,182333,0.341,1.17,3682,60000,8047,83437,40411,0.48,0.76,22.7,21915,4.44,0.82,0.044,0.6,50,20,20,20,20,20,0,0,-,-
Illinois,1970,11124410,13089661773,2356636,0.269,0.92,5554,60000,111827,117053,58598,0.5,1.11,21.1,27876,4.33,1.01,0.047,0.6,50,20,20,20,20,20,0,0,-,-
Indiana,1970,5204371,5444557264,1231458,0.31,1.07,4421,60000,50421,107982,53864,0.5,1.02,24.4,23029,4.63,0.94,0.041,0.6,50,20,20,20,20,20,0,0,-,-
Iowa,1970,2828213,3359400451,660104,0.304,1.05,5089,60000,32659,102863,51943,0.5,0.98,20.2,23619,5.14,1.06,0.049,0.6,50,20,20,20,20,20,0,0,-,-
Kansas,1970,2247796,2283915880,513394,0.296,1.02,4449,60000,25884,88237,45894,0.52,0.87,19.8,23768,4.46,0.94,0.05,0.6,50,20,20,20,20,20,0,0,-,-
Kentucky,1970,3230408,2640431583,717205,0.285,0.98,3682,60000,30180,87489,41154,0.47,0.78,23.8,19551,4.32,0.95,0.042,0.6,50,20,20,20,20,20,0,0,-,-
Louisiana,1970,3650349,3649526159,842365,0.3,1.03,4332,60000,36469,100072,47489,0.47,0.9,23.1,19057,5.43,1.13,0.043,0.6,50,20,20,20,20,20,0,0,-,-
Maine,1970,996714,1020963544,244670,0.325,1.12,4173,60000,11170,91402,46465,0.51,0.88,21.9,21269,5.04,0.97,0.046,0.6,50,20,20,20,20,20,0,0,-,-
Maryland,1970,3938298,4948746442,916244,0.303,1.04,5401,60000,40810,121263,57694,0.48,1.09,22.5,29292,4.63,0.96,0.045,0.6,50,20,20,20,20,20,0,0,-,-
Massachusetts,1970,5703274,6551563384,1167713,0.257,0.89,5611,60000,55300,118473,54950,0.46,1.04,21.1,27474,4.31,1.05,0.047,0.6,50,20,20,20,20,20,0,0,-,-
Michigan,1970,8896437,12015731543,2152256,0.319,1.1,5583,60000,93000,129201,62674,0.49,1.18,23.1,25088,5.4,1.06,0.043,0.6,50,20,20,20,20,20,0,0,-,-
Minnesota,1970,3815061,5270822484,920839,0.318,1.09,5724,60000,43809,120314,55905,0.46,1.06,21,24618,5.73,1.13,0.048,0.6,50,20,20,20,20,20,0,0,-,-
Mississippi,1970,2221336,1786187443,534395,0.317,1.09,3342,60000,22533,79270,34327,0.43,0.65,23.7,16394,5.14,1.01,0.042,0.6,50,20,20,20,20,20,0,0,-,-
Missouri,1970,4684465,4161469964,1039477,0.285,0.98,4003,60000,48286,86184,46786,0.54,0.88,21.5,23635,3.87,0.85,0.046,0.6,50,20,20,20,20,20,0,0,-,-
Montana,1970,697204,821418373,176712,0.34,1.17,4648,60000,8406,97718,46482,0.48,0.88,21,22468,5.46,1.01,0.048,0.6,50,20,20,20,20,20,0,0,-,-
Nebraska,1970,1487912,1631896809,329110,0.284,0.98,4959,60000,17230,94713,46454,0.49,0.88,19.1,23450,4.86,1.07,0.052,0.6,50,20,20,20,20,20,0,0,-,-
Nevada,1970,493182,573914947,127550,0.349,1.2,4500,60000,4967,115546,54413,0.47,1.03,25.7,30856,3.96,0.71,0.039,0.6,50,20,20,20,20,20,0,0,-,-
New Hampshire,1970,741841,694540113,158756,0.272,0.94,4375,60000,7441,93340,47517,0.51,0.9,21.3,24077,4.05,0.93,0.047,0.6,50,20,20,20,20,20,0,0,-,-
New Jersey,1970,7190856,9399520278,1482000,0.26,0.89,6342,60000,72140,130296,57317,0.44,1.08,20.5,29522,4.56,1.1,0.049,0.6,50,20,20,20,20,20,0,0,-,-
New Mexico,1970,1023051,1147424931,281372,0.379,1.31,4078,60000,11620,98746,46391,0.47,0.88,24.2,20414,5.91,0.97,0.041,0.6,50,20,20,20,20,20,0,0,-,-
New York,1970,18272998,28678869937,3489245,0.236,0.81,8219,60000,177066,161967,63086,0.39,1.19,19.7,29631,5.41,1.44,0.051,0.6,50,20,20,20,20,20,0,0,-,-
North Carolina,1970,5098811,4503061615,1192187,0.305,1.05,3777,60000,49565,90852,44436,0.49,0.84,24.1,20335,4.53,0.93,0.042,0.6,50,20,20,20,20,20,0,0,-,-
North Dakota,1970,618903,625106945,147013,0.312,1.07,4252,60000,7659,81617,41468,0.51,0.78,19.2,20422,5.21,1.05,0.052,0.6,50,20,20,20,20,20,0,0,-,-
Ohio,1970,10668689,10641646833,2425643,0.294,1.01,4387,60000,104680,101659,49610,0.49,0.94,23.2,24835,4.1,0.87,0.043,0.6,50,20,20,20,20,20,0,0,-,-
Oklahoma,1970,2566658,2273815644,626956,0.323,1.11,3627,60000,28184,80678,43778,0.54,0.83,22.2,21768,4.28,0.83,0.045,0.6,50,20,20,20,20,20,0,0,-,-
Oregon,1970,2100253,2643147213,479527,0.296,1.02,5512,60000,21641,122136,51731,0.42,0.98,22.2,24221,5.38,1.14,0.045,0.6,50,20,20,20,20,20,0,0,-,-
Pennsylvania,1970,11810662,12430532039,2363817,0.25,0.86,5259,60000,108772,114281,52520,0.46,0.99,21.7,24820,4.34,1.09,0.046,0.6,50,20,20,20,20,20,0,0,-,-
Rhode Island,1970,950581,977995853,188090,0.247,0.85,5200,60000,8988,108811,53178,0.49,1,20.9,25807,4.22,1.07,0.048,0.6,50,20,20,20,20,20,0,0,-,-
South Carolina,1970,2597984,2304128263,637800,0.325,1.12,3613,60000,28578,80626,39736,0.49,0.75,22.3,19332,4.87,0.94,0.045,0.6,50,20,20,20,20,20,0,0,-,-
South Dakota,1970,666599,726532134,166305,0.332,1.14,4369,60000,8698,83529,42263,0.51,0.8,19.1,20382,5.57,1.05,0.052,0.6,50,20,20,20,20,20,0,0,-,-
Tennessee,1970,3937355,3154310870,899893,0.296,1.02,3505,60000,35450,88979,43166,0.49,0.81,25.4,19589,4.24,0.89,0.039,0.6,50,20,20,20,20,20,0,0,-,-
Texas,1970,11238027,10420013351,2839900,0.338,1.16,3669,60000,129440,80501,46580,0.58,0.88,21.9,22624,4.29,0.79,0.046,0.6,50,20,20,20,20,20,0,0,-,-
Utah,1970,1065576,1155434847,304002,0.399,1.37,3801,60000,11736,98452,46019,0.47,0.87,25.9,21228,5.37,0.84,0.039,0.6,50,20,20,20,20,20,0,0,-,-
Vermont,1970,446263,531757181,103130,0.301,1.03,5156,60000,5750,92480,47203,0.51,0.89,17.9,22196,5.52,1.15,0.056,0.6,50,20,20,20,20,20,0,0,-,-
Virginia,1970,4659576,4748522364,1078754,0.301,1.04,4402,60000,47903,99128,49061,0.49,0.93,22.5,24987,4.51,0.94,0.044,0.6,50,20,20,20,20,20,0,0,-,-
Washington,1970,3417423,4212858488,817712,0.315,1.08,5152,60000,33380,126209,56602,0.45,1.07,24.5,26294,4.94,0.98,0.041,0.6,50,20,20,20,20,20,0,0,-,-
West Virginia,1970,1746665,1603025379,399531,0.297,1.02,4012,60000,16582,96673,43601,0.45,0.82,24.1,18906,4.96,1.05,0.042,0.6,50,20,20,20,20,20,0,0,-,-
Wisconsin,1970,4426394,5241814082,993736,0.289,1,5275,60000,44460,117900,55081,0.47,1.04,22.4,23889,4.99,1.08,0.045,0.6,50,20,20,20,20,20,0,0,-,-
Wyoming,1970,333773,453033702,86886,0.352,1.21,5214,60000,4568,99176,49707,0.5,0.94,19,24126,5.83,1.04,0.053,0.6,50,20,20,20,20,20,0,0,-,-
Alabama,1971,3497301,2811709176,806315,0.231,0.8,3487,60000,33172,84762,42704,0.5,0.8,24.3,19199,4.46,1.21,0.041,,-,-,-,-,-,#DIV/0!,-,-,-,-
Alaska,1971,316490,727593011,84381,0.267,0.93,8623,60000,4087,178026,77984,0.44,1.46,20.6,35797,7.33,1.72,0.048,,-,-,-,-,-,#DIV/0!,-,-,-,-
Arizona,1971,1896023,2087604729,464478,0.324,1.13,4495,60000,19010,109816,54725,0.5,1.02,24.4,24899,4.74,0.92,0.041,,-,-,-,-,-,#DIV/0!,-,-,-,-
Arkansas,1971,1972041,1534350012,461260,0.305,1.07,3326,60000,20305,75565,37764,0.5,0.7,22.7,18300,4.49,0.92,0.044,,-,-,-,-,-,#DIV/0!,-,-,-,-
California,1971,20346509,24970705195,4601550,0.292,1.02,5427,60000,199178,125369,63021,0.5,1.18,23.1,29974,4.35,0.93,0.043,,-,-,-,-,-,#DIV/0!,-,-,-,-
Colorado,1971,2303417,2701406528,564502,0.325,1.13,4785,60000,24593,109845,51132,0.47,0.95,23,26610,4.75,0.91,0.044,,-,-,-,-,-,#DIV/0!,-,-,-,-
Connecticut,1971,3061500,4030953704,666867,0.278,0.97,6045,60000,33909,118876,56822,0.48,1.06,19.7,31029,4.43,0.99,0.051,,-,-,-,-,-,#DIV/0!,-,-,-,-
Delaware,1971,565245,761652851,135013,0.314,1.09,5641,60000,6220,122452,57512,0.47,1.07,21.7,29032,4.91,0.98,0.046,,-,-,-,-,-,#DIV/0!,-,-,-,-
