State,Year,"Average NAEP Proficency in Math and Reading, Grades 4 and 8",State Expenditures per Student
Alabama,2003,19.75,7974
Alaska,2003,28.75,12256
Arizona,2003,23.5,7269
Arkansas,2003,25,8289
California,2003,22.5,9297
Colorado,2003,35.25,9061
Connecticut,2003,39,13855
Delaware,2003,30.25,12373
District of Columbia,2003,8.25,15701
Florida,2003,28.25,8231
Georgia,2003,25.5,9381
Hawaii,2003,20.75,10339
Idaho,2003,30.25,7473
Illinois,2003,31.75,10427
Indiana,2003,33,10215
Iowa,2003,35,9240
Kansas,2003,35.75,9421
Kentucky,2003,27.75,8316
Louisiana,2003,20,8809
Maine,2003,34,11808
Maryland,2003,31,11429
Massachusetts,2003,40.5,13346
Michigan,2003,31.5,11018
Minnesota,2003,40,10183
Mississippi,2003,17,7511
Missouri,2003,31.5,9138
Montana,2003,34.5,9480
Nebraska,2003,33.25,10240
Nevada,2003,21,7767
New Hampshire,2003,39.5,11100
New Jersey,2003,37,16160
New Mexico,2003,17.75,9174
New York,2003,33.5,15312
North Carolina,2003,33.75,8012
North Dakota,2003,35,8885
Ohio,2003,33.5,10940
Oklahoma,2003,24.75,7456
Oregon,2003,32.25,9230
Pennsylvania,2003,32.75,11763
Rhode Island,2003,27.75,13422
South Carolina,2003,27,8695
South Dakota,2003,35.25,8564
Tennessee,2003,24.25,7834
Texas,2003,27.75,8664
Utah,2003,31.5,6047
Vermont,2003,38.25,13583
Virginia,2003,34.5,9958
Washington,2003,33.5,8955
West Virginia,2003,24.5,10405
Wisconsin,2003,35,11195
Wyoming,2003,34.75,11277
Alabama,2005,20,8828
Alaska,2005,29,13186
Arizona,2005,25.25,7486
Arkansas,2005,28,9227
California,2005,23,9538
Colorado,2005,35,9383
Connecticut,2005,37.25,15019
Delaware,2005,32.5,13353
District of Columbia,2005,10,15801
Florida,2005,29.5,8976
Georgia,2005,26,9876
Hawaii,2005,21.5,11348
Idaho,2005,33.75,7433
Illinois,2005,30.25,10471
Indiana,2005,31.5,10259
Iowa,2005,34.5,9600
Kansas,2005,37,9927
Kentucky,2005,27.75,8811
Louisiana,2005,20,9750
Maine,2005,35.5,12456
Maryland,2005,32.5,12534
Massachusetts,2005,45,13887
Michigan,2005,31.75,11001
Minnesota,2005,41.25,10524
Mississippi,2005,17.25,8242
Missouri,2005,30.25,9506
Montana,2005,36.75,9911
Nebraska,2005,35,10713
Nevada,2005,22.5,8246
New Hampshire,2005,39.75,11945
New Jersey,2005,39,17182
New Mexico,2005,18,9599
New York,2005,33.25,16793
North Carolina,2005,32,8498
North Dakota,2005,36.75,10028
Ohio,2005,36.5,11136
Oklahoma,2005,25,7976
Oregon,2005,33.25,9933
Pennsylvania,2005,36,12321
Rhode Island,2005,28.5,14487
