State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Alabama,3375,3487,3608,4191,4328,4665,4700,4960,5280,5083,5536,5047,4939,4348,4891,5068,4903,5114,5798,5807,6023,5730,5718,5949,6202,6396,6661,6835,7153,7648,7833,7729,7714,7974,8393,8828,9411,9854,9375,8942,8364,8076,7855
Alaska,8612,8623,8629,10126,11027,12224,12545,12683,13283,14265,16600,15977,16839,15843,15811,16021,14444,14092,13328,13997,13176,13175,12663,12375,12126,12060,11765,11504,11426,11776,12087,12090,12087,12256,12870,13186,13811,15728,16068,15990,15887,15835,15302
Arizona,4279,4495,4432,4585,5791,5942,5949,5747,5758,6235,6310,5989,5860,5883,5938,6325,6961,6963,7159,6866,6779,6639,6553,6380,6437,6592,6381,6439,6414,6753,7264,7465,7694,7269,7483,7486,8199,8301,8390,7907,7262,6939,6944
Arkansas,3203,3326,3404,3834,4109,4182,4111,4365,4537,4921,4777,4556,4456,4698,5090,5266,5181,5516,5806,5965,6079,6337,6184,6238,6319,6481,6491,6552,6764,7072,7325,7962,7938,8289,9088,9227,9404,9321,9261,8996,8644,8468,8461
California,5369,5427,5801,6320,6900,7014,6971,7356,7247,7443,7349,6988,6539,6673,7112,7429,7640,7718,8074,8317,8071,7786,7387,7337,7243,7271,7754,8087,8126,8685,9422,9630,9248,9297,9379,9538,10032,10427,9939,9390,8659,8293,8601
Colorado,4669,4785,4901,5399,5917,6007,6282,6777,7239,7548,7563,7266,7086,7033,7503,7705,7727,7719,7971,8048,8084,7793,7639,7349,7619,7541,7603,7879,8068,8326,8613,8775,9041,9061,9286,9383,9285,9832,9185,9062,8899,8817,8750
Connecticut,5942,6045,6265,6602,7076,6392,6516,6783,6991,7244,8173,8049,8462,8557,9910,9754,10433,11754,12443,13785,13255,12786,12269,12354,12650,12415,12338,12421,12670,13035,13281,13372,13540,13855,14550,15019,15307,15695,16058,15581,14946,14628,14820
Delaware,5747,5641,6202,6602,6878,6943,7101,7224,7638,8647,8202,7629,7640,7959,8431,8859,8971,9169,9521,9839,9586,9394,9220,9485,9814,9861,10197,10321,10473,10999,11738,11738,11870,12373,12946,13353,13179,13055,12664,12483,12241,12120,12214
District of Columbia,6375,6447,6830,7778,8173,8151,8371,8650,8590,9399,8894,8684,8979,9386,9723,9820,10438,11270,13227,14540,14102,14100,13280,13748,12514,12533,12051,12247,13830,14258,16815,16231,14507,15701,16511,15801,17383,17567,20602,19735,18578,18000,18000
Florida,4611,4466,4495,4991,5919,5601,5321,5486,5535,6131,6661,6293,6073,6117,6596,6852,7121,7520,8085,8492,8534,8089,7814,7871,7879,7769,7651,7718,7872,7797,8088,7841,7885,8231,8561,8976,9601,9758,9273,9021,8683,8515,8788
