State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,18460,19199,20412,21373,21072,21224,22153,22638,23480,23211,22362,22402,22255,23047,24196,25037,25890,26293,27099,28106,28184,28215,29104,29137,29753,30338,30499,31136,32495,32856,33324,33611,33872,34344,35603,36023,36540,36841,36487,35803,36211,36263,36440,36481
Alaska,35266,35797,36679,39106,41298,48066,50445,48632,45985,43499,43281,43220,46234,44869,43485,43805,42449,39664,39520,40995,40754,39591,39743,39902,39928,39794,39428,40351,41083,41166,42610,43225,43784,44080,44055,44589,45231,46895,48721,47996,48659,49962,50566,50150
Arizona,24020,24899,26093,26813,26012,24932,25563,26100,27587,27834,27221,27466,26634,27595,29022,29962,31029,31160,31340,31366,30653,30047,30094,30302,31044,31460,32008,32895,34507,34926,35908,35801,35727,36030,37280,38674,40236,40306,38713,36928,36291,36714,37154,36983
Arkansas,17532,18300,19560,21367,21065,20702,21491,22054,23409,22750,21448,21962,21750,22300,23652,24264,24971,24928,25664,26226,26065,26131,27299,27368,27903,28368,28830,29205,30246,30536,30826,31383,31422,32291,33195,33393,34087,35057,35039,34375,34212,35324,36972,36698
California,29823,29974,31508,32099,31768,31643,32570,33299,34503,34502,33716,33647,33152,34003,35571,36305,37355,37922,38610,38649,38300,37321,37594,37017,36989,37578,38425,39377,41603,42851,45146,44819,44333,44704,45831,46485,48106,48503,47193,45173,45165,46332,48156,48434
Colorado,25510,26610,27946,28960,28695,28481,29101,29762,31096,31132,30778,31377,31530,32074,33175,33443,33823,33628,34145,35098,34948,34689,35487,36109,36808,37860,38718,39731,42477,43898,46312,46351,45004,44551,44923,45800,46936,47402,46943,45099,44541,45788,47018,46897
Connecticut,30982,31029,32322,33113,32473,31879,32507,33604,34710,34984,34925,35363,35852,36880,39386,40553,42573,44587,46860,48366,47089,45363,47419,47508,47434,48483,49199,51102,53666,54753,57098,57475,55969,55418,57513,58257,60691,62512,60690,58409,59050,59757,61139,60658
Delaware,28437,29032,30437,31423,30440,29786,30480,30692,31133,30663,30550,30429,30724,31538,32982,34339,35331,36286,37467,39151,38345,38149,38050,37761,37678,38156,39042,39309,41354,41955,43431,44711,45211,44891,45847,45733,46549,46027,44801,44368,43764,44276,44681,44815
District of Columbia,32841,35234,37403,37559,37355,37720,38508,39645,39941,38688,36990,36086,36411,36897,38581,39401,40404,41153,43858,45041,45844,46307,47749,48494,48861,48519,49761,51638,54265,55091,58461,59295,59263,60879,63755,66519,69754,72193,75493,73616,74200,76974,77209,75329
Florida,24978,25684,27266,28330,27363,26675,26993,27756,29022,28859,28777,29121,28876,30295,31470,32491,33563,34083,34994,36283,35557,34569,34835,35211,35363,36183,36593,37054,38631,38982,40011,40188,40210,40436,42003,43258,44720,44755,42974,40571,41123,41721,41656,41497
Georgia,21220,21948,23375,24356,23642,23116,23951,24453,25431,25066,24176,24429,24563,25761,27467,28463,29879,30404,31281,31689,31611,31123,31970,32209,32998,33812,34661,35219,37175,37901,38796,38908,38705,38595,38864,39370,39767,39953,38700,37311,36691,37714,37764,37845
Hawaii,33293,33354,34431,34875,35056,34327,34243,33898,34485,33948,33482,32464,31767,33307,33713,34266,35305,35764,37309,39234,39899,39668,40731,40509,39865,39296,37955,38068,37957,38408,39140,38996,39640,40287,41711,42568,43784,45012,44855,44928,44527,44605,45166,45204
