State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Alabama,19.75,19.75,20,20,24.28,24.28,24.23,24.23,26.13,26.13
Alaska,28.75,28.75,29,29,30.2,30.2,31.38,31.38,32.1,32.1
Arizona,23.5,23.5,25.25,25.25,25.85,25.85,27.15,27.15,29.85,29.85
Arkansas,25,25,28,28,29.03,29.03,29.7,29.7,31.13,31.13
California,22.5,22.5,23,23,23.9,23.9,24.88,24.88,26.85,26.85
Colorado,35.25,35.25,35,35,36.65,36.65,39.38,39.38,42.28,42.28
Connecticut,39,39,37.25,37.25,40.03,40.03,42.73,42.73,42.55,42.55
Delaware,30.25,30.25,32.5,32.5,33.7,33.7,33.45,33.45,34.83,34.83
District of Columbia,8.25,8.25,10,10,12.88,12.88,14.68,14.68,18.38,18.38
Florida,28.25,28.25,29.5,29.5,32.58,32.58,34.25,34.25,32.5,32.5
Georgia,25.5,25.5,26,26,27.78,27.78,29.2,29.2,31.2,31.2
Hawaii,20.75,20.75,21.5,21.5,24.9,24.9,27.43,27.43,30.73,30.73
Idaho,30.25,30.25,33.75,33.75,34.6,34.6,36,36,35.73,35.73
Illinois,31.75,31.75,30.25,30.25,32.03,32.03,33.93,33.93,34.58,34.58
Indiana,33,33,31.5,31.5,35.38,35.38,35.9,35.9,35.68,35.68
Iowa,35,35,34.5,34.5,37.63,37.63,35.43,35.43,35.65,35.65
Kansas,35.75,35.75,37,37,39.4,39.4,38.48,38.48,40.03,40.03
Kentucky,27.75,27.75,27.75,27.75,29.93,29.93,33.3,33.3,35.33,35.33
Louisiana,20,20,20,20,20.9,20.9,20.45,20.45,23.25,23.25
Maine,34,34,35.5,35.5,37.85,37.85,37.6,37.6,38.68,38.68
Maryland,31,31,32.5,32.5,35.6,35.6,39.13,39.13,42.73,42.73
Massachusetts,40.5,40.5,45,45,48.2,48.2,49.65,49.65,51.53,51.53
Michigan,31.5,31.5,31.75,31.75,31.48,31.48,31.45,31.45,32.23,32.23
Minnesota,40,40,41.25,41.25,40.18,40.18,44.08,44.08,43.78,43.78
Mississippi,17,17,17.25,17.25,18.7,18.7,19.6,19.6,21.8,21.8
Missouri,31.5,31.5,30.25,30.25,33.05,33.05,36.65,36.65,35.53,35.53
Montana,34.5,34.5,36.75,36.75,40.18,40.18,40.35,40.35,42.03,42.03
Nebraska,33.25,33.25,35,35,35.63,35.63,35.48,35.48,35.83,35.83
Nevada,21,21,22.5,22.5,24.38,24.38,25.83,25.83,29.03,29.03
New Hampshire,39.5,39.5,39.75,39.75,41.83,41.83,44.93,44.93,45.95,45.95
New Jersey,37,37,39,39,43.23,43.23,43.75,43.75,46.53,46.53
New Mexico,17.75,17.75,18,18,20.78,20.78,21.98,21.98,24,24
New York,33.5,33.5,33.25,33.25,35.93,35.93,35.8,35.8,34,34
North Carolina,33.75,33.75,32,32,31.53,31.53,34.93,34.93,36.53,36.53
North Dakota,35,35,36.75,36.75,36.35,36.35,39.13,39.13,39.73,39.73
Ohio,33.5,33.5,36.5,36.5,38.5,38.5,38.35,38.35,38.7,38.7
Oklahoma,24.75,24.75,25,25,27.9,27.9,27.48,27.48,28.53,28.53
Oregon,32.25,32.25,33.25,33.25,32.83,32.83,34.48,34.48,33.1,33.1
Pennsylvania,32.75,32.75,36,36,40,40,40.5,40.5,41.55,41.55
Rhode Island,27.75,27.75,28.5,28.5,29.8,29.8,32.6,32.6,36.33,36.33
South Carolina,27,27,29.25,29.25,27.73,27.73,29.08,29.08,30.7,30.7
South Dakota,35.25,35.25,36.25,36.25,36.98,36.98,38.25,38.25,37.08,37.08
Tennessee,24.25,24.25,25.5,25.5,26.7,26.7,27.38,27.38,26.55,26.55
Texas,27.75,27.75,31.5,31.5,31.2,31.2,32.35,32.35,33.45,33.45
Utah,31.5,31.5,32.5,32.5,33.38,33.38,35.05,35.05,36.7,36.7
Vermont,38.25,38.25,39.5,39.5,43.53,43.53,44.15,44.15,45.2,45.2
Virginia,34.5,34.5,36.25,36.25,36.73,36.73,37.2,37.2,40.13,40.13
Washington,33.5,33.5,37,37,37.08,37.08,37.95,37.95,39.15,39.15
West Virginia,24.5,24.5,22.75,22.75,26.55,26.55,23.9,23.9,25.83,25.83
Wisconsin,35,35,36,36,37.23,37.23,37.75,37.75,39.08,39.08
Wyoming,34.75,34.75,35.5,35.5,36.78,36.78,35.55,35.55,38.35,38.35
