State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,3449983,3497301,3540405,3580486,3628010,3680913,3737365,3782911,3833936,3869563,3900516,3918615,3925446,3933952,3951640,3972485,3991616,4015362,4023853,4030139,4050077,4099228,4153963,4214269,4260332,4296720,4331048,4367964,4404663,4430076,4452190,4467646,4480009,4503431,4530702,4569802,4629025,4672867,4718239,4757981,4785349,4802680,4822023,4833722
Alaska,304325,316490,326485,333211,344693,370974,393125,397349,402190,403556,405322,418486,449609,488414,513691,532483,544272,539320,541982,547166,553297,570198,588742,599436,603300,604409,608560,612975,619934,624772,627964,633716,642335,648414,659285,666938,675300,680307,687458,698887,714149,722719,731449,735132
Arizona,1795042,1896023,2008980,2125474,2224255,2286221,2347963,2427130,2517699,2638478,2737702,2810159,2889834,2968969,3067072,3183466,3308301,3437217,3535132,3622085,3684187,3788546,3915649,4065441,4245157,4432557,4586877,4736925,4883288,5023789,5160576,5273489,5396222,5510367,5652464,5839073,6029202,6167646,6280403,6343066,6413098,6482417,6553255,6626624
Arkansas,1930345,1972041,2018359,2058463,2100352,2158368,2168815,2207224,2240852,2269219,2288763,2293120,2294167,2305675,2319805,2327083,2331891,2342293,2342573,2346318,2356527,2383209,2415979,2456361,2493965,2535434,2572170,2601077,2626343,2651874,2678639,2691615,2705960,2724868,2749715,2781082,2821782,2848611,2874558,2896803,2921604,2937968,2949131,2959373
California,20023477,20346509,20584742,20866989,21173106,21536865,21935196,22349467,22838770,23255860,23801448,24285149,24819484,25360789,25844792,26440719,27102291,27777462,28463566,29218683,29960155,30470780,30974095,31275372,31484576,31696077,32018339,32485686,32987406,33498960,33988213,34479660,34871730,35253209,35574250,35828174,36021325,36250032,36604273,36961463,37338200,37691900,38041430,38332521
Colorado,2223990,2303417,2404805,2496018,2541512,2586171,2632396,2695977,2766733,2849150,2908808,2977949,3061454,3133641,3169901,3208719,3237397,3260486,3262334,3275832,3307677,3387159,3495975,3613720,3724106,3826610,3919938,4018307,4116664,4225963,4326951,4425630,4490391,4528712,4575071,4631923,4720373,4803913,4889768,4972168,5047737,5116802,5187582,5268367
Connecticut,3038936,3061500,3069869,3069153,3075662,3084755,3085889,3088882,3094833,3099943,3113167,3128922,3139086,3162308,3180091,3201063,3223678,3247273,3272021,3283356,3292005,3302930,3300720,3309134,3316090,3324187,3336693,3349387,3365342,3386368,3411758,3432818,3458746,3484296,3496086,3506965,3517485,3527257,3545605,3561798,3575475,3580688,3590347,3596080
Delaware,550365,565245,573833,579070,583125,588788,592754,594827,598167,598840,594901,595969,599138,605441,611556,618284,627557,636943,647606,658269,669565,683072,694928,706375,717538,729722,740985,751478,763330,774985,786362,795696,806173,818009,830806,845156,859258,871745,883870,891731,899799,907132,917092,925749
District of Columbia,755105,750655,743738,733726,720794,710317,696287,681763,670042,655604,638295,636873,634185,632432,633383,634554,638285,636916,630439,624178,605324,600860,597565,595305,589248,580516,572377,567737,565234,570211,572048,574502,573163,568499,567753,567137,570680,574402,580238,592225,604916,617999,632323,646449
Florida,6845547,7162313,7520256,7926556,8317307,8542343,8695485,8888381,9131504,9470386,9840105,10192638,10471494,10749885,11039922,11351070,11667344,11997578,12306720,12637954,13033102,13369562,13650424,13927355,14239521,14537862,14853172,15186349,15486731,15759579,16047461,16356815,16689643,17003875,17415232,17841942,18166863,18367931,18527082,18652810,18838653,19057361,19317568,19552860
