State,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,25,29,24,30,29,32,31,31,25,29,36,32,24,23,24,24,24,21,19,23,21,25,21,20,18,21,18,21,22,21,17,24,22,26,20,20,26
Alaska,10,8,6,12,11,10,11,12,10,10,13,16,13,15,15,15,12,9,13,8,9,11,10,9,9,11,11,10,12,11,11,7,9,14,14,17,13
Arizona,15,14,10,12,17,16,19,27,26,13,19,19,22,22,20,21,22,23,24,25,31,25,25,15,18,21,17,19,18,18,19,19,24,27,28,22,28
Arkansas,27,28,26,27,30,31,32,24,31,29,27,28,29,24,23,19,21,25,20,23,20,24,14,15,19,25,27,25,20,17,21,19,19,23,17,25,27
California,13,13,13,13,15,19,20,22,20,20,19,19,19,20,22,23,23,26,25,23,24,25,22,19,18,16,19,18,18,17,17,17,19,20,22,23,21
Colorado,10,11,16,9,8,12,17,16,10,12,17,17,15,15,18,14,11,11,9,11,12,9,13,12,13,11,14,12,10,15,11,11,15,17,16,14,15
Connecticut,8,12,10,8,12,14,14,15,8,14,12,10,3,2,8,14,15,13,20,17,23,11,15,11,11,9,10,10,11,12,9,12,9,9,10,13,14
Delaware,8,13,8,12,16,13,15,9,12,18,21,11,13,12,9,14,11,14,9,18,13,16,15,17,12,8,12,12,12,11,10,12,13,18,17,20,20
District of Columbia,21,25,20,29,31,24,34,31,35,42,24,27,28,27,30,32,31,52,29,30,38,36,46,25,26,31,36,33,29,40,32,30,28,30,35,40,32
Florida,19,20,21,22,23,25,24,23,24,23,15,19,19,18,25,27,22,27,23,22,20,19,21,18,16,18,16,19,16,15,13,16,15,19,20,21,21
Georgia,21,20,21,20,20,24,27,25,22,27,22,21,22,22,24,28,29,19,19,16,19,25,24,18,15,18,15,16,20,21,18,18,20,20,23,23,26
Hawaii,9,12,9,12,10,13,17,17,14,16,13,12,17,14,22,12,16,13,13,14,16,19,14,10,12,16,14,11,9,9,10,11,16,20,18,17,20
Idaho,14,8,10,11,18,19,17,23,24,18,23,19,14,12,19,17,20,14,15,16,16,19,17,17,18,13,12,12,11,11,13,12,13,16,17,20,17
Illinois,15,18,16,19,19,19,17,20,22,23,21,22,19,19,18,20,21,18,18,20,17,16,13,14,15,15,16,18,18,14,14,13,18,18,20,18,19
Indiana,13,11,14,12,14,15,18,23,16,14,16,14,12,20,16,23,13,11,13,14,8,13,13,8,10,9,10,12,16,15,11,17,21,21,24,21,21
Iowa,13,8,6,5,12,17,21,24,20,23,17,20,10,15,13,11,15,11,14,15,12,12,15,7,9,6,9,12,11,13,13,11,13,13,12,11,13
