State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,805205,806315,783383,770739,764341,759346,752507,761880,761666,754181,758721,743448,724037,721901,712586,730460,733735,729234,724751,723743,721806,722004,731634,734288,736531,746149,737386,739321,737639,730184,729156,726991,739366,731220,730140,741761,743632,744865,745668,748889,755552,744621,742400,739300
Alaska,79845,84381,85332,82505,86576,89295,91190,90344,90728,88573,86514,90858,89413,98206,104599,107345,107848,106869,106481,109280,113903,118680,122487,125948,127057,127618,129919,132123,135374,134391,133356,134358,134364,133933,132970,133288,132608,131029,130662,131661,132104,131167,131000,132300
Arizona,439524,464478,485088,521240,487040,492995,502817,513817,509830,509252,513790,507199,510296,506682,530062,548252,534538,572421,574890,607615,639853,656980,673477,709453,737424,743566,790103,808089,840203,849259,874943,913869,937755,1012068,1043298,1094454,1068249,1087447,1087817,1077831,1071751,1080319,1088500,1098800
Arkansas,463320,461260,461431,450114,454406,456703,460593,458778,456698,453125,447700,437121,432565,432120,432668,433410,437438,437036,436387,434960,436286,438518,441490,444271,447565,453257,456721,456289,450545,450085,448544,448259,450985,454523,463115,474206,476409,479016,478965,480559,482114,483114,486300,487300
California,4633198,4601550,4500978,4459328,4427443,4419571,4380400,4303665,4187967,4119511,4076421,4046156,4065486,4089017,4151110,4255554,4377989,4488398,4618120,4771978,4950474,5107145,5254844,5327231,5407475,5536406,5513045,5634519,5752817,5870624,5972363,6074303,6353667,6413867,6441557,6437202,6406750,6343471,6322528,6263438,6289578,6287834,6282200,6278800
Colorado,550060,564502,574248,573154,568060,568851,564087,561807,558285,550527,546033,544174,545209,542196,545427,550642,558415,560236,560081,562755,574213,593030,612635,625062,640521,656279,672437,686152,697888,706848,724508,742145,751862,757693,765976,779826,794026,801867,818443,832368,843316,854265,864700,874000
Connecticut,662205,666867,664761,667088,660067,652449,635000,616389,593757,566634,531459,505386,486470,477585,468145,462026,468847,465465,460637,461560,469123,481050,488476,496298,506824,517935,523912,533467,544698,554261,562179,570228,570023,577203,577390,575059,575100,570626,567198,563968,560546,554437,548000,542700
Delaware,132745,135013,134317,132940,130616,127476,122273,118000,111034,104035,99403,95072,92646,91406,91767,92901,94410,95659,96678,97808,99658,102196,104321,105547,106813,108461,110549,111960,113312,113996,114771,115563,116342,117668,119091,120937,122254,122574,125430,126801,129403,128946,129500,130400
District of Columbia,145704,142512,139918,136036,131691,129969,125848,119875,113858,106156,100049,94975,91105,88843,87397,87092,85612,86435,84792,81301,80694,80618,80937,80678,80450,79802,75067,73504,68206,73171,64757,71073,76166,78057,76714,76876,72850,78422,68681,69433,71284,73911,74700,74200
Florida,1427896,1478504,1514359,1537952,1557054,1551373,1537336,1535570,1513819,1508337,1510225,1487721,1484734,1495543,1524107,1562283,1607320,1664774,1720930,1789925,1861592,1932131,1981407,2040763,2111188,2176222,2245231,2295671,2337757,2381594,2436159,2504916,2539929,2587628,2639336,2675024,2671513,2666811,2631020,2634522,2643347,2668156,2696300,2715800
Georgia,1098901,1093407,1090280,1085881,1081485,1090292,1095142,1089625,1093256,1078462,1068737,1056117,1053689,1050859,1062315,1079594,1096425,1110947,1107994,1126535,1151687,1177569,1207186,1235304,1270948,1311126,1346761,1375980,1401291,1422941,1444937,1470634,1496012,1522611,1553437,1598461,1629157,1649589,1655792,1667685,1677067,1685016,1695700,1704600
Hawaii,180641,183654,181979,178511,177030,176430,174943,172356,170761,168660,165068,162805,162024,162241,163860,164169,164640,166160,167488,169493,171708,174747,177448,180410,183795,187180,187559,189780,187969,185761,184281,184432,183829,183609,183185,182818,180728,179897,179478,180196,179601,182706,182600,182600
