State,Year,Students Per Teacher,Median Teacher Salary
Alabama,1970,24.4,42177
Alaska,1970,20.9,77585
Arizona,1970,23.4,53063
Arkansas,1970,21.9,37306
California,1970,24,63034
Colorado,1970,22.5,49255
Connecticut,1970,21.1,57626
Delaware,1970,22,55602
District of Columbia,1970,19.5,60644
Florida,1970,22.9,50296
Georgia,1970,25,42846
Hawaii,1970,22.6,58803
Idaho,1970,22.7,40411
Illinois,1970,21.1,58598
Indiana,1970,24.4,53864
Iowa,1970,20.2,51943
Kansas,1970,19.8,45894
Kentucky,1970,23.8,41154
Louisiana,1970,23.1,47489
Maine,1970,21.9,46465
Maryland,1970,22.5,57694
Massachusetts,1970,21.1,54950
Michigan,1970,23.1,62674
Minnesota,1970,21,55905
Mississippi,1970,23.7,34327
Missouri,1970,21.5,46786
Montana,1970,21,46482
Nebraska,1970,19.1,46454
Nevada,1970,25.7,54413
New Hampshire,1970,21.3,47517
New Jersey,1970,20.5,57317
New Mexico,1970,24.2,46391
New York,1970,19.7,63086
North Carolina,1970,24.1,44436
North Dakota,1970,19.2,41468
Ohio,1970,23.2,49610
Oklahoma,1970,22.2,43778
Oregon,1970,22.2,51731
Pennsylvania,1970,21.7,52520
Rhode Island,1970,20.9,53178
South Carolina,1970,22.3,39736
South Dakota,1970,19.1,42263
Tennessee,1970,25.4,43166
Texas,1970,21.9,46580
Utah,1970,25.9,46019
Vermont,1970,17.9,47203
Virginia,1970,22.5,49061
Washington,1970,24.5,56602
West Virginia,1970,24.1,43601
Wisconsin,1970,22.4,55081
Wyoming,1970,19,49707
Alabama,1971,24.3,42704
Alaska,1971,20.6,77984
Arizona,1971,24.4,54725
Arkansas,1971,22.7,37764
California,1971,23.1,63021
Colorado,1971,23,51132
Connecticut,1971,19.7,56822
Delaware,1971,21.7,57512
District of Columbia,1971,21.8,60824
Florida,1971,23.4,49333
Georgia,1971,24.4,43697
Hawaii,1971,22.3,56966
Idaho,1971,23.1,40662
Illinois,1971,21.6,58638
Indiana,1971,23.5,53936
Iowa,1971,20.1,50707
Kansas,1971,20.4,45541
Kentucky,1971,23.2,40634
Louisiana,1971,22.9,48383
Maine,1971,21.6,47169
Maryland,1971,22,57750
Massachusetts,1971,21.8,56177
Michigan,1971,24.5,64136
Minnesota,1971,20.5,56397
Mississippi,1971,23.2,36042
Missouri,1971,23.3,47920
Montana,1971,21,47075
Nebraska,1971,20,46722
Nevada,1971,24.4,56254
New Hampshire,1971,22,46678
New Jersey,1971,19.6,59201
New Mexico,1971,23.2,45408
New York,1971,19.7,65284
North Carolina,1971,23.8,47395
North Dakota,1971,19.3,41870
Ohio,1971,24.2,48460
Oklahoma,1971,22.7,42499
Oregon,1971,21,52313
Pennsylvania,1971,21.7,54648
Rhode Island,1971,20.7,54697
South Carolina,1971,25.2,40590
South Dakota,1971,20,42102
Tennessee,1971,24.9,44128
Texas,1971,22.5,46760
Utah,1971,25.2,46661
Vermont,1971,17.1,46882
Virginia,1971,22,50138
Washington,1971,24,56166
West Virginia,1971,23.4,44762
Wisconsin,1971,22.3,55260
Wyoming,1971,18.5,50966
Alabama,1972,23.2,43002
Alaska,1972,20.6,77797
Arizona,1972,23.8,53391
Arkansas,1972,22.4,38906
California,1972,22.7,64050
Colorado,1972,22.5,51284
Connecticut,1972,19.5,56261
Delaware,1972,21.6,56203
District of Columbia,1972,21.3,64341
Florida,1972,22.8,49077
Georgia,1972,24.5,46079
Hawaii,1972,21.9,55874
Idaho,1972,24.1,40625
Illinois,1972,21.4,60171
Indiana,1972,23.3,53306
Iowa,1972,19.7,50918
Kansas,1972,19.4,45124
Kentucky,1972,22.7,41363
Louisiana,1972,20.2,46886
Maine,1972,20.5,47629
Maryland,1972,22.1,59206
Massachusetts,1972,20,55810
Michigan,1972,24.1,63015
Minnesota,1972,20.7,55990
Mississippi,1972,22.6,36651
Missouri,1972,22.7,48064
Montana,1972,20.3,47480
Nebraska,1972,19.4,46180
Nevada,1972,24.3,57640
New Hampshire,1972,19.6,48584
New Jersey,1972,19,62283
New Mexico,1972,23.1,46239
New York,1972,18.9,65572
North Carolina,1972,23.4,48175
North Dakota,1972,19,42721
Ohio,1972,23.4,51083
Oklahoma,1972,22.2,41352
Oregon,1972,21.2,50669
Pennsylvania,1972,21.1,55120
Rhode Island,1972,20,56272
South Carolina,1972,23.1,42466
South Dakota,1972,19.7,41702
Tennessee,1972,24.6,44026
Texas,1972,21.5,46058
Utah,1972,25,45093
Vermont,1972,17.2,47045
Virginia,1972,21.5,50473
Washington,1972,24.2,56192
West Virginia,1972,22.8,42970
Wisconsin,1972,20.7,55253
Wyoming,1972,18.2,49311
Alabama,1973,22.5,44947
Alaska,1973,20.4,76318
Arizona,1973,24.4,50798
Arkansas,1973,22.4,38093
California,1973,22.2,63843
Colorado,1973,21.7,49351
Connecticut,1973,19.2,53769
Delaware,1973,21.2,55060
District of Columbia,1973,20.7,62026
Florida,1973,22.8,48659
Georgia,1973,23.9,45620
Hawaii,1973,22.7,54139
Idaho,1973,22.9,40237
Illinois,1973,20.9,58378
Indiana,1973,23.2,51110
Iowa,1973,19.3,48002
Kansas,1973,18.8,43330
Kentucky,1973,22.6,40437
Louisiana,1973,20.1,44650
Maine,1973,21.1,45001
Maryland,1973,21.3,57194
Massachusetts,1973,18.2,54208
Michigan,1973,23.2,60760
Minnesota,1973,20.6,53954
Mississippi,1973,22.1,37051
Missouri,1973,21.8,46404
Montana,1973,19.5,45927
Nebraska,1973,18.7,44660
Nevada,1973,24.3,56390
New Hampshire,1973,19.8,46818
New Jersey,1973,18.7,57954
New Mexico,1973,22.6,44723
New York,1973,18.6,65090
North Carolina,1973,22.9,49828
North Dakota,1973,18.3,41270
Ohio,1973,22.6,49205
Oklahoma,1973,21.8,40091
Oregon,1973,21.4,48357
Pennsylvania,1973,20.5,53199
Rhode Island,1973,19.6,55567
South Carolina,1973,23.3,41650
South Dakota,1973,19.4,39501
Tennessee,1973,24.3,43067
Texas,1973,21.3,43462
